Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,YS,UTS,El,Original_Index,Data_Split
0.0,0.0,1.6,0.0,0.95,0.0,0.0,0.0,0.0,0.08,1.7,0.0,0.0,0.0,530.0,150.0,24.0,315.0,415.0,16.0,0,Final_Test
0.8,0.0,4.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,177.0,18.0,425.0,509.0,10.0,1,Proper_Training
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,175.0,8.0,420.0,470.0,10.0,2,Calibration
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,150.0,30.0,420.0,475.0,10.0,3,Proper_Training
0.83,0.29,3.91,0.55,0.47,0.01,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,500.0,160.0,24.0,420.0,470.0,6.5,4,Proper_Training
0.8,0.0,4.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,172.5,12.5,415.0,485.0,13.0,5,Proper_Training
0.8,0.0,4.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,172.5,12.5,415.0,485.0,13.0,6,Proper_Training
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,135.0,120.0,410.0,475.0,15.0,7,Proper_Training
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,205.0,2.0,395.0,440.0,9.0,8,Proper_Training
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,190.0,3.0,395.0,455.0,9.0,9,Final_Test
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,230.0,0.5,370.0,440.0,9.0,10,Proper_Training
0.81,0.27,4.27,0.74,0.52,0.02,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,500.0,170.0,12.0,340.0,425.0,6.0,11,Final_Test
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,500.0,260.0,0.1,330.0,420.0,9.0,12,Proper_Training
0.8,0.0,4.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,25.0,48.0,290.0,430.0,20.0,13,Proper_Training
