Original_Index,Data_Split
0,Final_Test
1,Proper_Training
2,Calibration
3,Proper_Training
4,Proper_Training
5,Proper_Training
6,Proper_Training
7,Proper_Training
8,Proper_Training
9,Final_Test
10,Proper_Training
11,Final_Test
12,Proper_Training
13,Proper_Training
14,Proper_Training
15,Final_Test
16,Calibration
17,Proper_Training
18,Calibration
19,Final_Test
20,Proper_Training
21,Proper_Training
22,Final_Test
23,Proper_Training
24,Proper_Training
25,Final_Test
26,Proper_Training
27,Proper_Training
28,Proper_Training
29,Proper_Training
30,Final_Test
31,Calibration
32,Proper_Training
33,Final_Test
34,Calibration
35,Proper_Training
36,Proper_Training
37,Proper_Training
38,Calibration
39,Final_Test
40,Proper_Training
41,Proper_Training
42,Final_Test
43,Proper_Training
44,Proper_Training
45,Proper_Training
46,Final_Test
47,Proper_Training
48,Proper_Training
49,Proper_Training
50,Calibration
51,Proper_Training
52,Proper_Training
53,Proper_Training
54,Proper_Training
55,Final_Test
56,Final_Test
57,Final_Test
58,Calibration
59,Calibration
60,Proper_Training
61,Proper_Training
62,Proper_Training
63,Proper_Training
64,Proper_Training
65,Proper_Training
66,Proper_Training
67,Proper_Training
68,Proper_Training
69,Proper_Training
70,Final_Test
71,Calibration
72,Final_Test
73,Final_Test
74,Proper_Training
75,Final_Test
76,Final_Test
77,Final_Test
78,Final_Test
79,Final_Test
80,Proper_Training
81,Calibration
82,Final_Test
83,Proper_Training
84,Proper_Training
85,Proper_Training
86,Proper_Training
87,Proper_Training
88,Proper_Training
89,Calibration
90,Final_Test
91,Calibration
92,Proper_Training
93,Final_Test
94,Proper_Training
95,Proper_Training
96,Proper_Training
97,Proper_Training
98,Proper_Training
99,Proper_Training
100,Proper_Training
101,Final_Test
102,Proper_Training
103,Proper_Training
104,Proper_Training
105,Proper_Training
106,Proper_Training
107,Proper_Training
108,Calibration
109,Calibration
110,Proper_Training
111,Proper_Training
112,Proper_Training
113,Final_Test
114,Proper_Training
115,Proper_Training
116,Final_Test
117,Final_Test
118,Proper_Training
119,Calibration
120,Proper_Training
121,Proper_Training
122,Proper_Training
123,Proper_Training
124,Final_Test
125,Proper_Training
126,Proper_Training
127,Proper_Training
128,Calibration
129,Calibration
130,Proper_Training
131,Calibration
132,Final_Test
133,Proper_Training
134,Proper_Training
135,Proper_Training
136,Calibration
137,Final_Test
138,Proper_Training
139,Proper_Training
140,Final_Test
141,Proper_Training
142,Proper_Training
143,Proper_Training
144,Proper_Training
145,Proper_Training
146,Proper_Training
147,Proper_Training
148,Proper_Training
149,Proper_Training
150,Proper_Training
151,Calibration
152,Proper_Training
153,Final_Test
154,Proper_Training
155,Calibration
156,Proper_Training
157,Proper_Training
158,Calibration
159,Proper_Training
160,Proper_Training
161,Proper_Training
162,Proper_Training
163,Proper_Training
164,Proper_Training
165,Final_Test
166,Calibration
167,Proper_Training
168,Proper_Training
169,Proper_Training
170,Calibration
171,Calibration
172,Proper_Training
173,Proper_Training
174,Proper_Training
175,Proper_Training
176,Proper_Training
177,Proper_Training
178,Proper_Training
179,Calibration
180,Final_Test
181,Proper_Training
182,Proper_Training
183,Proper_Training
184,Proper_Training
185,Calibration
186,Proper_Training
187,Proper_Training
188,Proper_Training
189,Calibration
190,Calibration
191,Calibration
192,Final_Test
193,Proper_Training
194,Proper_Training
195,Calibration
196,Final_Test
197,Proper_Training
198,Calibration
199,Proper_Training
200,Proper_Training
201,Proper_Training
202,Proper_Training
203,Calibration
204,Final_Test
205,Proper_Training
206,Calibration
207,Proper_Training
208,Calibration
209,Final_Test
210,Proper_Training
211,Proper_Training
212,Calibration
213,Calibration
214,Proper_Training
215,Proper_Training
216,Proper_Training
217,Calibration
218,Final_Test
219,Proper_Training
220,Calibration
221,Proper_Training
222,Calibration
223,Calibration
224,Proper_Training
225,Proper_Training
226,Proper_Training
227,Final_Test
228,Proper_Training
229,Proper_Training
230,Proper_Training
231,Proper_Training
232,Proper_Training
233,Proper_Training
