Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent
12,1,1,R01_F01,,,YS,0.8589929707405031,45.286517164203886,35.13594779924132,0.37684045656340154,0.29237502549478084,11.376918871531725
12,1,1,R01_F01,,,UTS,0.8547887657897975,39.66944814964112,28.10021859613433,0.3825531392131528,0.27098503604024177,6.5642956519615066
12,1,1,R01_F01,,,El,0.7478370036899509,3.621130612396918,2.5823010889588964,0.5008647525032399,0.35717673131765915,24.149361493729618
12,1,1,R01_F01,,,Macro,0.8205395800734171,,,0.42008611609326474,0.3068455976175606,
12,1,2,R01_F02,,,YS,0.856883322148073,52.57557457149522,39.03935655864201,0.4560718901543617,0.3386506620464611,13.161480942735018
12,1,2,R01_F02,,,UTS,0.8665775454147562,44.5639989526576,32.91840624999972,0.4512448477453341,0.33332424300791647,8.299415960736587
12,1,2,R01_F02,,,El,0.7069502470944962,4.222441667705198,2.8462877314814876,0.5978060940991397,0.4029725654834188,21.990203201118756
12,1,2,R01_F02,,,Macro,0.8101370382191084,,,0.5017076106662784,0.3583158235125988,
12,1,3,R01_F03,,,YS,0.8373611313270238,46.2421064440221,31.947086170908157,0.38136342284066566,0.2634709157696304,11.330351599277847
12,1,3,R01_F03,,,UTS,0.8746169900393865,35.65945014804554,25.51303083991378,0.34243867307628967,0.24500233151949985,6.614008691552415
12,1,3,R01_F03,,,El,0.7858249349236186,3.4579396494549384,2.316525925437919,0.48261738783503105,0.3233126671725465,19.16410398144862
12,1,3,R01_F03,,,Macro,0.8326010187633429,,,0.4021398279173288,0.2772619714872256,
12,1,4,R01_F04,,,YS,0.8959442740519814,37.35458179975864,26.450297898716865,0.3087088499761151,0.21859275763304883,8.058975965620036
12,1,4,R01_F04,,,UTS,0.9073813225842073,31.19856658565658,21.7340816826163,0.3001521005001292,0.20909711513726506,5.4014128668698715
12,1,4,R01_F04,,,El,0.7042573513608714,3.8617716126324537,2.206460593319978,0.5326159480410051,0.3043152777036296,18.591199657102266
12,1,4,R01_F04,,,Macro,0.8358609826656868,,,0.3804922995057498,0.24400171682464786,
12,1,5,R01_F05,,,YS,0.8314878644533045,42.44778416720966,30.699402592592826,0.34168401214353883,0.24711525593248437,9.025236581364975
12,1,5,R01_F05,,,UTS,0.7990955793202787,36.55987202714323,27.125601851851453,0.33700354407245126,0.25003982378235073,5.735395210984616
12,1,5,R01_F05,,,El,0.6752074014317377,3.581803813579501,2.1301560185185244,0.4816371108486598,0.2864372935576401,16.218024448327277
12,1,5,R01_F05,,,Macro,0.7685969484017736,,,0.38677488902154994,0.26119745775749176,
12,2,1,R02_F01,,,YS,0.826139808716758,50.803049645415854,35.154214043209905,0.4232873148493402,0.29290235471783327,10.689843594402273
12,2,1,R02_F01,,,UTS,0.8493724372613509,41.14775364488668,30.148200874485525,0.3983967013655139,0.2918979219171179,6.906835958279222
