Outer_ID,Repeat,Fold,Target,Metric,Difference_k12_minus_k17
R01_F01,1,1,El,R2,0.11294420163765895
R01_F01,1,1,El,RMSE,-0.7361317346295264
R01_F01,1,1,El,MAE,-0.5847297098439586
R01_F01,1,1,El,NRMSE,-0.10181970178395328
R01_F01,1,1,El,NMAE,-0.08087819323601453
R01_F01,1,1,El,MAPE_Percent,-6.179941118274783
R01_F01,1,1,Macro,R2,0.06508940090382032
R01_F01,1,1,Macro,NRMSE,-0.06791246718376609
R01_F01,1,1,Macro,NMAE,-0.06332390016032163
R01_F01,1,1,UTS,R2,0.027593492622343785
R01_F01,1,1,UTS,RMSE,-3.6052312929351658
R01_F01,1,1,UTS,MAE,-4.433979067575567
R01_F01,1,1,UTS,NRMSE,-0.0347671221313503
R01_F01,1,1,UTS,NMAE,-0.0427591683430511
R01_F01,1,1,UTS,MAPE_Percent,-1.185009480620348
R01_F01,1,1,YS,R2,0.054730508451458104
R01_F01,1,1,YS,RMSE,-8.069769935084018
R01_F01,1,1,YS,MAE,-7.971679061883201
R01_F01,1,1,YS,NRMSE,-0.06715057763599452
R01_F01,1,1,YS,NMAE,-0.06633433890189916
R01_F01,1,1,YS,MAPE_Percent,-3.249882593002983
R01_F02,1,2,El,R2,0.00904693746773444
R01_F02,1,2,El,RMSE,-0.06468151650606035
R01_F02,1,2,El,MAE,0.12697238183421788
R01_F02,1,2,El,NRMSE,-0.00915749885632211
R01_F02,1,2,El,NMAE,0.017976533393777083
R01_F02,1,2,El,MAPE_Percent,-1.9920501051544726
R01_F02,1,2,Macro,R2,0.001230204534585444
R01_F02,1,2,Macro,NRMSE,0.00045702520718282624
R01_F02,1,2,Macro,NMAE,0.0008377452222683157
R01_F02,1,2,UTS,R2,-0.01301093349491711
R01_F02,1,2,UTS,RMSE,2.228594459395829
R01_F02,1,2,UTS,MAE,0.9120057464723317
R01_F02,1,2,UTS,NRMSE,0.02256623712303074
R01_F02,1,2,UTS,NMAE,0.009234761329363017
R01_F02,1,2,UTS,MAPE_Percent,0.6700210229258223
R01_F02,1,2,YS,R2,0.007654609630939113
R01_F02,1,2,YS,RMSE,-1.3876913787712368
R01_F02,1,2,YS,MAE,-2.847170969576851
R01_F02,1,2,YS,NRMSE,-0.012037662645159986
R01_F02,1,2,YS,NMAE,-0.024698059056335153
R01_F02,1,2,YS,MAPE_Percent,-0.8624563682379431
R01_F03,1,3,El,R2,-0.013365386074432273
R01_F03,1,3,El,RMSE,0.10963260496257421
R01_F03,1,3,El,MAE,0.1399649995119998
R01_F03,1,3,El,NRMSE,0.01530119284670789
R01_F03,1,3,El,NMAE,0.01953462156676461
R01_F03,1,3,El,MAPE_Percent,3.007270319873996
R01_F03,1,3,Macro,R2,-0.003611350718667472
R01_F03,1,3,Macro,NRMSE,0.0036475164078695332
R01_F03,1,3,Macro,NMAE,0.010408648654525288
R01_F03,1,3,UTS,R2,0.008538127888585434
R01_F03,1,3,UTS,RMSE,-1.1941451078885237
R01_F03,1,3,UTS,MAE,-0.14335656749394943
R01_F03,1,3,UTS,NRMSE,-0.011467408064571694
R01_F03,1,3,UTS,NMAE,-0.0013766570304811487
R01_F03,1,3,UTS,MAPE_Percent,-0.02472918500825827
R01_F03,1,3,YS,R2,-0.006006793970155466
R01_F03,1,3,YS,RMSE,0.8619710813886599
R01_F03,1,3,YS,MAE,1.584554133870963
R01_F03,1,3,YS,NRMSE,0.007108764441472459
R01_F03,1,3,YS,NMAE,0.013067981427292319
R01_F03,1,3,YS,MAPE_Percent,0.5394997098270178
R01_F04,1,4,El,R2,-0.0867264755836431
R01_F04,1,4,El,RMSE,0.6152406237083445
R01_F04,1,4,El,MAE,0.20483540813478385
R01_F04,1,4,El,NRMSE,0.08485405169944393
R01_F04,1,4,El,NMAE,0.028250921089998104
R01_F04,1,4,El,MAPE_Percent,0.2551406528110043
R01_F04,1,4,Macro,R2,-0.025250808124102964
R01_F04,1,4,Macro,NRMSE,0.022817131611112373
R01_F04,1,4,Macro,NMAE,0.005951504682218334
R01_F04,1,4,UTS,R2,0.0028201246778484235
R01_F04,1,4,UTS,RMSE,-0.47141735637881155
R01_F04,1,4,UTS,MAE,-0.36736677417378516
R01_F04,1,4,UTS,NRMSE,-0.004535365730372054
R01_F04,1,4,UTS,NMAE,-0.0035343261242301027
R01_F04,1,4,UTS,MAPE_Percent,0.07648015581171475
R01_F04,1,4,YS,R2,0.008153926533485678
R01_F04,1,4,YS,RMSE,-1.4359734018174706
R01_F04,1,4,YS,MAE,-0.8303298173324336
R01_F04,1,4,YS,NRMSE,-0.011867291135734925
R01_F04,1,4,YS,NMAE,-0.006862080919113084
R01_F04,1,4,YS,MAPE_Percent,-0.39437937009491364
R01_F05,1,5,El,R2,0.03375627404102488
R01_F05,1,5,El,RMSE,-0.1815314781614905
R01_F05,1,5,El,MAE,-0.07002047789822363
R01_F05,1,5,El,NRMSE,-0.024410129984872242
R01_F05,1,5,El,NMAE,-0.009415496333798401
R01_F05,1,5,El,MAPE_Percent,-0.6481040933137798
R01_F05,1,5,Macro,R2,0.003909428713354424
R01_F05,1,5,Macro,NRMSE,-0.0013460118510342234
R01_F05,1,5,Macro,NMAE,0.00720815392831109
R01_F05,1,5,UTS,R2,-0.012956242715351785
R01_F05,1,5,UTS,RMSE,1.1985103462741975
R01_F05,1,5,UTS,MAE,1.509988514175408
R01_F05,1,5,UTS,NRMSE,0.011047692781912255
R01_F05,1,5,UTS,NMAE,0.013918852899922757
R01_F05,1,5,UTS,MAPE_Percent,0.26865330872178106
R01_F05,1,5,YS,R2,-0.009071745185609492
R01_F05,1,5,YS,RMSE,1.1583807689405035
R01_F05,1,5,YS,MAE,2.126973909235115
R01_F05,1,5,YS,NRMSE,0.00932440164985715
R01_F05,1,5,YS,NMAE,0.017121105218808746
R01_F05,1,5,YS,MAPE_Percent,0.5101754254450661
R02_F01,2,1,El,R2,-0.003770047992787351
R02_F01,2,1,El,RMSE,0.023266198839040797
R02_F01,2,1,El,MAE,0.19306255520977444
R02_F01,2,1,El,NRMSE,0.0033898418044263634
R02_F01,2,1,El,NMAE,0.028128854440172046
R02_F01,2,1,El,MAPE_Percent,0.6054073867043535
R02_F01,2,1,Macro,R2,0.01693524553483272
R02_F01,2,1,Macro,NRMSE,-0.020837527824004942
R02_F01,2,1,Macro,NMAE,0.0017657644029130948
R02_F01,2,1,UTS,R2,0.020738469140529237
R02_F01,2,1,UTS,RMSE,-2.7413060875843343
R02_F01,2,1,UTS,MAE,-0.14645355219351686
R02_F01,2,1,UTS,NRMSE,-0.0265416020556572
R02_F01,2,1,UTS,NMAE,-0.0014179780651139007
R02_F01,2,1,UTS,MAPE_Percent,-0.10097041101899684
R02_F01,2,1,YS,R2,0.03383731545675639
R02_F01,2,1,YS,RMSE,-4.724095870630194
R02_F01,2,1,YS,MAE,-2.5700636199597824
R02_F01,2,1,YS,NRMSE,-0.039360823220783714
R02_F01,2,1,YS,NMAE,-0.021413583166319083
R02_F01,2,1,YS,MAPE_Percent,-1.0326421217385846
R02_F02,2,2,El,R2,-0.03196627892912729
R02_F02,2,2,El,RMSE,0.21202641715104464
R02_F02,2,2,El,MAE,0.16920692941988524
R02_F02,2,2,El,NRMSE,0.0286590024722152
R02_F02,2,2,El,NMAE,0.022871215170823966
R02_F02,2,2,El,MAPE_Percent,1.0154964427247677
R02_F02,2,2,Macro,R2,-0.01360010406215717
R02_F02,2,2,Macro,NRMSE,0.014150879882771972
R02_F02,2,2,Macro,NMAE,0.008268312037960274
R02_F02,2,2,UTS,R2,-0.0048243769016301785
R02_F02,2,2,UTS,RMSE,0.7943490456317903
R02_F02,2,2,UTS,MAE,0.567781237219144
R02_F02,2,2,UTS,NRMSE,0.007685452338057064
R02_F02,2,2,UTS,NMAE,0.0054933730468828545
R02_F02,2,2,UTS,MAPE_Percent,0.07423397791999964
R02_F02,2,2,YS,R2,-0.004009656355714375
R02_F02,2,2,YS,RMSE,0.7285580895291162
R02_F02,2,2,YS,MAE,-0.424580035626807
R02_F02,2,2,YS,NRMSE,0.0061081848380438175
R02_F02,2,2,YS,NMAE,-0.003559652103825972
R02_F02,2,2,YS,MAPE_Percent,0.011940225637296464
R02_F03,2,3,El,R2,0.04243170652985462
R02_F03,2,3,El,RMSE,-0.39836849892780535
R02_F03,2,3,El,MAE,-0.17653240963064198
R02_F03,2,3,El,NRMSE,-0.054495981959591655
R02_F03,2,3,El,NMAE,-0.024149266411394033
R02_F03,2,3,El,MAPE_Percent,-1.0321831844212195
R02_F03,2,3,Macro,R2,0.015598005863540543
R02_F03,2,3,Macro,NRMSE,-0.019498989183863058
R02_F03,2,3,Macro,NMAE,-0.008607489328224305
R02_F03,2,3,UTS,R2,0.005837797429176561
R02_F03,2,3,UTS,RMSE,-0.6770406950965011
R02_F03,2,3,UTS,MAE,-0.5938468461257855
R02_F03,2,3,UTS,NRMSE,-0.006381843543264598
R02_F03,2,3,UTS,NMAE,-0.005597651201890763
R02_F03,2,3,UTS,MAPE_Percent,-0.24223886071798262
R02_F03,2,3,YS,R2,-0.001475486368409551
R02_F03,2,3,YS,RMSE,0.2902769526012037
R02_F03,2,3,YS,MAE,0.47847343358896666
R02_F03,2,3,YS,NRMSE,0.00238085795126719
R02_F03,2,3,YS,NMAE,0.003924449628611937
R02_F03,2,3,YS,MAPE_Percent,0.21834613842947181
R02_F04,2,4,El,R2,0.02105535895302668
R02_F04,2,4,El,RMSE,-0.1288537646605592
R02_F04,2,4,El,MAE,-0.2210902156736645
