Implementation,Chain_Order,Target,N_Folds,R2_Mean,R2_SD,R2_SE,R2_CI95_Lower,R2_CI95_Upper,NRMSE_Mean,NRMSE_SD,NRMSE_SE,NRMSE_CI95_Lower,NRMSE_CI95_Upper,NMAE_Mean,NMAE_SD,NMAE_SE,NMAE_CI95_Lower,NMAE_CI95_Upper
MultiOutputRegressor(ExtraTreesRegressor),Not applicable,El,25,0.735774778407601,0.08517190267755054,0.017034380535510107,0.7023873925580012,0.7691621642572007,0.5078701368117337,0.13273799671127942,0.026547599342255885,0.45583684210091213,0.5599034315225552,0.31930151703361725,0.06338819854116151,0.012677639708232302,0.29445334320548194,0.34414969086175257
MultiOutputRegressor(ExtraTreesRegressor),Not applicable,Macro,25,0.8171471493466111,0.041989857284822796,0.008397971456964559,0.8006871252909606,0.8336071734022616,0.4141054178630739,0.06763369760080433,0.013526739520160865,0.38759300840355865,0.4406178273225892,0.27945098840647814,0.04287054482083341,0.008574108964166683,0.26264573483671144,0.29625624197624484
MultiOutputRegressor(ExtraTreesRegressor),Not applicable,UTS,25,0.8629953796819883,0.0416091541454039,0.00832183082908078,0.8466845912569899,0.8793061681069866,0.36048438147338774,0.05647890204979195,0.01129578040995839,0.3383446518698693,0.3826241110769062,0.25565442646380404,0.04338058827290271,0.008676117654580543,0.23864923586082618,0.2726596170667819
MultiOutputRegressor(ExtraTreesRegressor),Not applicable,YS,25,0.8526712899502441,0.044463300151849405,0.00889266003036988,0.8352416762907191,0.8701009036097691,0.37396173530410054,0.05591243458859923,0.011182486917719846,0.35204406094536966,0.3958794096628314,0.2633970217220131,0.042262216681186224,0.008452443336237245,0.24683023278298813,0.27996381066103815
Native multi-output ExtraTreesRegressor,Not applicable,El,25,0.7324897072558408,0.09856050731705612,0.019712101463411225,0.6938539883875549,0.7711254261241268,0.5095227547543816,0.1439784948591453,0.02879569897182906,0.45308318476959664,0.5659623247391665,0.3243433086414388,0.06992515142286007,0.013985030284572014,0.29693264928367763,0.35175396799919995
Native multi-output ExtraTreesRegressor,Not applicable,Macro,25,0.8150970171925158,0.04588578637119377,0.009177157274238753,0.7971097889350078,0.8330842454500238,0.41580761422195417,0.0710177360765062,0.01420354721530124,0.38796866167996374,0.4436465667639446,0.2823386252950089,0.044310721327844534,0.008862144265568906,0.2649688225344939,0.29970842805552395
Native multi-output ExtraTreesRegressor,Not applicable,UTS,25,0.8650333871436456,0.04089575481065245,0.00817915096213049,0.8490022512578699,0.8810645230294214,0.3575544005049598,0.053944557602566647,0.010788911520513329,0.33640813392475366,0.3787006670851659,0.2549903743191345,0.0420741381290868,0.00841482762581736,0.2384973121725325,0.2714834364657365
Native multi-output ExtraTreesRegressor,Not applicable,YS,25,0.8477679571780611,0.04498665961236908,0.008997331922473815,0.8301331866100125,0.8654027277461097,0.380345687406521,0.05813346636515704,0.011626693273031407,0.3575573685913795,0.40313400622166257,0.2676821929244533,0.044236471319504346,0.008847294263900869,0.2503414961672076,0.285022889681699
RegressorChain(ExtraTreesRegressor),Selected_by_inner_training_CV,El,25,0.7292307124032531,0.08213705771874576,0.016427411543749153,0.6970329857775047,0.7614284390290015,0.5148210753984624,0.13113912174617093,0.026227824349234187,0.46341453967396345,0.5662276111229615,0.3227000994913378,0.06330419838878383,0.012660839677756766,0.29788485372293455,0.3475153452597411
RegressorChain(ExtraTreesRegressor),Selected_by_inner_training_CV,Macro,25,0.8150336413698597,0.041296843865290096,0.00825936877305802,0.7988452785746659,0.8312220041650534,0.4162085987653901,0.06710564040525585,0.01342112808105117,0.3899031877265298,0.44251400980425043,0.28126852213360853,0.04332957059569916,0.008665914119139832,0.26428333046009445,0.2982537138071226
