Outer_ID,Seed,Max_Absolute_Difference,Exactly_Equal,Numerically_Equivalent_at_1e-12
R01_F01,52043,0.0,True,True
R01_F02,52044,0.0,True,True
R01_F03,52045,0.0,True,True
R01_F04,52046,0.0,True,True
R01_F05,52047,0.0,True,True
R02_F01,52048,0.0,True,True
R02_F02,52049,0.0,True,True
R02_F03,52050,0.0,True,True
R02_F04,52051,0.0,True,True
R02_F05,52052,0.0,True,True
R03_F01,52053,0.0,True,True
R03_F02,52054,0.0,True,True
R03_F03,52055,0.0,True,True
R03_F04,52056,0.0,True,True
R03_F05,52057,0.0,True,True
R04_F01,52058,0.0,True,True
R04_F02,52059,0.0,True,True
R04_F03,52060,0.0,True,True
R04_F04,52061,0.0,True,True
R04_F05,52062,0.0,True,True
R05_F01,52063,0.0,True,True
R05_F02,52064,0.0,True,True
R05_F03,52065,0.0,True,True
R05_F04,52066,0.0,True,True
R05_F05,52067,0.0,True,True
