Implementation,Target,Metric,Mean_Difference_vs_Native,SD_Difference,Corrected_t,df,P_Value,CI95_Lower,CI95_Upper,Paired_Cohen_dz
Separately fitted target-wise ExtraTrees,YS,R2,0.004903332772182934,0.005713513413621536,1.593635949386859,24,0.12410383613212168,-0.001446913944820086,0.011253579489185954,0.8581992230022497
Separately fitted target-wise ExtraTrees,YS,NRMSE,-0.006383952102420641,0.0075723269541820995,-1.5655295284237325,24,0.1305502556918173,-0.014800164842243148,0.002032260637401866,-0.843063452099736
Separately fitted target-wise ExtraTrees,YS,NMAE,-0.0042851712024402555,0.005426089449949779,-1.466500548735097,24,0.15549351570531444,-0.010315962454904922,0.0017456200500244115,-0.7897347144691683
Separately fitted target-wise ExtraTrees,UTS,R2,-0.0020380074616572898,0.007076730679408233,-0.5347787021216016,24,0.5977231219230188,-0.009903392997794833,0.005827378074480253,-0.2879871446270315
Separately fitted target-wise ExtraTrees,UTS,NRMSE,0.0029299809684278956,0.009583890938144655,0.5677065925479668,24,0.5755071174996942,-0.007721971264846316,0.013581933201702107,0.30571935629675584
Separately fitted target-wise ExtraTrees,UTS,NMAE,0.0006640521446695113,0.006726533667596352,0.1833208509244931,24,0.8560862076018713,-0.006812109237506858,0.008140213526845881,0.0987212994812531
Separately fitted target-wise ExtraTrees,El,R2,0.0032850711517601995,0.03921845488813539,0.1555447302046403,24,0.8776927559784093,-0.040304021298003256,0.04687416360152366,0.08376340070332601
Separately fitted target-wise ExtraTrees,El,NRMSE,-0.0016526179426479693,0.0367500886655359,-0.08350549859360545,24,0.9341422217722607,-0.04249826107030893,0.03919302518501299,-0.04496908722285039
Separately fitted target-wise ExtraTrees,El,NMAE,-0.005041791607821534,0.019395322851766796,-0.4827128709266917,24,0.6336734944469453,-0.02659859498750888,0.016515011771865814,-0.259948836446528
Separately fitted target-wise ExtraTrees,Macro,R2,0.0020501321540952544,0.013296656994158038,0.28631255497500524,24,0.7770957241424027,-0.01272834937059351,0.016828613678784018,0.1541840294892161
Separately fitted target-wise ExtraTrees,Macro,NRMSE,-0.0017021963588802437,0.012559106199441318,-0.25168186611884386,24,0.8034296223810512,-0.01566093192802323,0.012256539210262742,-0.13553483280171358
