Fold,Composition_ID,Group_Size
1,COMP-6f2ca218fbd1923b,21
1,COMP-30cef922979fb9fd,5
1,COMP-055230aabe7d502c,3
1,COMP-92ed17371ff559b6,3
1,COMP-0346738121cb655e,2
1,COMP-0e256dc7494452a7,2
1,COMP-266a388f7afdbe91,2
1,COMP-631a18a4a6b20c0c,2
1,COMP-93900d7c81c38cdd,2
1,COMP-edeedccfd8f07e13,2
1,COMP-20d1e620c817cb5a,1
1,COMP-3632fb12e94bc35a,1
1,COMP-49d8e1edbf1c2fbd,1
1,COMP-609dfbaf681359b8,1
1,COMP-73d52e7a36d559a9,1
1,COMP-880bd22028629a8e,1
1,COMP-948abb1ebd270642,1
1,COMP-b611e8d56579c910,1
1,COMP-b9abc443805301b1,1
1,COMP-ea1f0dc96a173899,1
2,COMP-f9d9cbed014e8b80,16
2,COMP-0b765af90e5ebd4c,5
2,COMP-435a8f4ba56d8b5d,5
2,COMP-0765adc8c505dd3b,3
2,COMP-b2e9edd7bc55d085,3
2,COMP-06072d2dd3b021af,2
2,COMP-0ee2ef468faff8db,2
2,COMP-3f22c6642a7a1344,2
2,COMP-773f99d6dc417f9e,2
2,COMP-941f92def7f50542,2
2,COMP-0107563adaed8d01,1
2,COMP-0d41a2cf75110ad6,1
2,COMP-2753cd2e053c8c98,1
2,COMP-384273ac244080b1,1
2,COMP-4a76c05754ee1efa,1
2,COMP-6360354242bed7fe,1
2,COMP-7c0b488137fafb3b,1
2,COMP-889d7d6c6dbf5b76,1
2,COMP-9b0e3106e10f71db,1
2,COMP-b72f6533b137a4f6,1
2,COMP-d7494ade7e8dd694,1
2,COMP-eae7689b221fd7f8,1
3,COMP-478c9f483894c42c,15
3,COMP-ea2a626c3522e4a5,8
3,COMP-a85acb2f2da0216b,4
3,COMP-27021c945dc6ef2d,3
3,COMP-e295ac85ac1ada41,3
3,COMP-0966c0019ec07f39,2
3,COMP-221944a235b3f36b,2
3,COMP-630f3050f45faf36,2
3,COMP-8bbe9ce01fb6a2d3,2
3,COMP-eacd4f126ab29a30,2
3,COMP-0d7ce00a50a6a24f,1
3,COMP-289a02a6b94655b9,1
3,COMP-445f55453794f59c,1
3,COMP-4ef2bcae5243588c,1
3,COMP-6525c735bb50fb1c,1
3,COMP-7decbe1f0284bd78,1
3,COMP-8cee7ef8867afd2d,1
3,COMP-a35a20d65351aafe,1
3,COMP-b775405901636085,1
3,COMP-d8a14990923ce9f7,1
3,COMP-f6d84b53636ddfbe,1
4,COMP-95a56990f4bea8a9,15
4,COMP-725d39a40881dc4b,7
4,COMP-a14831ff30c0b14d,4
4,COMP-21d126c9d34df073,3
4,COMP-c1d72bb5d7d164b0,3
4,COMP-06f5d2a767a65349,2
4,COMP-150ce51691dfb5f9,2
4,COMP-5479c448b954c055,2
4,COMP-7fb1fecc93ced403,2
4,COMP-a7670bf71188b1d6,2
4,COMP-05480af3b167ab05,1
4,COMP-15c7378d46cadefa,1
4,COMP-3157f0dc71f862ff,1
4,COMP-44fea4804e888e0a,1
4,COMP-598bc18a3ba07a9e,1
4,COMP-69c6ecd7284d3b47,1
4,COMP-862c9c676a6f1012,1
4,COMP-8e1fe5f59d3c7565,1
4,COMP-a87a2533a652007c,1
4,COMP-b878df279a448475,1
4,COMP-dd1e9c4c0f247912,1
4,COMP-f9a00d6d8411a0d1,1
5,COMP-dbc0864492ec7b98,13
5,COMP-89919c53d3149a2d,11
5,COMP-e1e52574fbb04f58,4
5,COMP-59f47d6774b9fdfb,3
5,COMP-e913f917a7e36868,3
5,COMP-1af7d3f3b3b924e5,2
5,COMP-5502f8bc72167a0b,2
5,COMP-81f8a3600f73b006,2
5,COMP-ddfcf6030a718a0c,2
5,COMP-091a20b5a1dfb76f,1
5,COMP-1fc9679353325516,1
5,COMP-35e38ea13dc05b9e,1
5,COMP-46e30c1bd5e987da,1
5,COMP-59ce4655e65cf94a,1
5,COMP-6b4f0394292930ba,1
5,COMP-87a7ec252c82f56c,1
5,COMP-92ece298f11712f0,1
5,COMP-b0cc51380afea02b,1
5,COMP-b8df58296dba2095,1
5,COMP-e60cc4ecffe6b7df,1
5,COMP-fc5c3e46d2655b62,1
