Original_Index,Data_Split,Composition_ID,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc
0,Final_Test,COMP-336edc956702c406,0.0,0.0,1.6,0.0,0.95,0.0,0.0,0.0,0.0,0.08,1.7,0.0,0.0,0.0
1,Proper_Training,COMP-27021c945dc6ef2d,0.8,0.0,4.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Calibration,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
3,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
4,Proper_Training,COMP-862c9c676a6f1012,0.83,0.29,3.91,0.55,0.47,0.01,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0
5,Proper_Training,COMP-8e1fe5f59d3c7565,0.8,0.0,4.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Proper_Training,COMP-27021c945dc6ef2d,0.8,0.0,4.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
8,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
9,Final_Test,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
10,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
11,Final_Test,COMP-614713a2dee2f170,0.81,0.27,4.27,0.74,0.52,0.02,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0
12,Proper_Training,COMP-725d39a40881dc4b,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
13,Proper_Training,COMP-27021c945dc6ef2d,0.8,0.0,4.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Proper_Training,COMP-609dfbaf681359b8,0.14,0.01,3.87,0.01,0.6,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Final_Test,COMP-614713a2dee2f170,0.81,0.27,4.27,0.74,0.52,0.02,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0
16,Calibration,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
17,Proper_Training,COMP-773f99d6dc417f9e,0.3,0.4,4.37,0.6,1.29,0.05,0.075,0.0,0.009,0.0,0.0,0.0,0.0,0.0
18,Calibration,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
19,Final_Test,COMP-81f8a3600f73b006,0.2,0.5,4.1,0.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Proper_Training,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
21,Proper_Training,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
22,Final_Test,COMP-7decbe1f0284bd78,0.29,0.42,4.2,0.63,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Proper_Training,COMP-81f8a3600f73b006,0.2,0.5,4.1,0.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Proper_Training,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
25,Final_Test,COMP-0b765af90e5ebd4c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0
26,Proper_Training,COMP-7decbe1f0284bd78,0.29,0.42,4.2,0.63,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Proper_Training,COMP-73d52e7a36d559a9,0.04,0.1,3.49,1.31,2.15,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Proper_Training,COMP-3632fb12e94bc35a,0.08,0.16,4.35,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Proper_Training,COMP-773f99d6dc417f9e,0.3,0.4,4.37,0.6,1.29,0.05,0.075,0.0,0.009,0.0,0.0,0.0,0.0,0.0
30,Final_Test,COMP-a87a2533a652007c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
31,Calibration,COMP-81f8a3600f73b006,0.2,0.5,4.1,0.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Proper_Training,COMP-81f8a3600f73b006,0.2,0.5,4.1,0.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Final_Test,COMP-ccf6dcf28fdd3907,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Calibration,COMP-773f99d6dc417f9e,0.3,0.4,4.37,0.6,1.29,0.05,0.075,0.0,0.009,0.0,0.0,0.0,0.0,0.0
35,Proper_Training,COMP-a87a2533a652007c,0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
36,Proper_Training,COMP-87a7ec252c82f56c,0.1,0.2,4.2,0.91,1.4,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Proper_Training,COMP-f6d84b53636ddfbe,0.51,0.53,4.23,0.65,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Calibration,COMP-87a7ec252c82f56c,0.1,0.2,4.2,0.91,1.4,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Final_Test,COMP-07605730efeebf09,0.04,0.3,4.65,0.9,1.65,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Proper_Training,COMP-1af7d3f3b3b924e5,0.9,1.0,4.0,0.2,1.5,0.1,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0
41,Proper_Training,COMP-1af7d3f3b3b924e5,0.9,1.0,4.0,0.2,1.5,0.1,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0
42,Final_Test,COMP-c3fd3ced51ab8b71,0.2,0.3,6.3,0.3,0.02,0.0,0.1,0.1,0.06,0.175,0.0,0.0,0.0,0.0
43,Proper_Training,COMP-9b0e3106e10f71db,0.05,0.15,5.8,0.28,0.22,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.0
44,Proper_Training,COMP-0d7ce00a50a6a24f,0.0,0.93,2.23,0.0,1.21,0.0,0.0,0.0,0.0,0.3,0.0,1.09,0.0,0.3
45,Proper_Training,COMP-59ce4655e65cf94a,12.25,1.0,0.9,0.0,1.05,0.1,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0
46,Final_Test,COMP-59ce4655e65cf94a,12.25,1.0,0.9,0.0,1.05,0.1,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0
47,Proper_Training,COMP-e295ac85ac1ada41,0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Proper_Training,COMP-b611e8d56579c910,0.6,0.0,0.2,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Proper_Training,COMP-92ece298f11712f0,0.6,0.0,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Calibration,COMP-1500bf64677ea3f3,0.55,0.47,0.28,0.0,0.98,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Proper_Training,COMP-dbc0864492ec7b98,0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
52,Proper_Training,COMP-06f5d2a767a65349,1.35,0.5,0.275,0.7,0.85,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
53,Proper_Training,COMP-06f5d2a767a65349,1.35,0.5,0.275,0.7,0.85,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
54,Proper_Training,COMP-ea1f0dc96a173899,1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
55,Final_Test,COMP-ea1f0dc96a173899,1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
56,Final_Test,COMP-18a770c2c666cd6e,0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Final_Test,COMP-18a770c2c666cd6e,0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Calibration,COMP-e7dd60e0f9c84a63,0.02,0.06,1.55,0.0,2.3,0.0,6.3,0.0,0.0,0.14,0.0,0.0,0.0,0.25
59,Calibration,COMP-da3c1cfbe5442077,0.02,0.06,1.55,0.0,2.3,0.0,6.3,0.0,0.0,0.14,0.0,0.0,0.0,0.0
60,Proper_Training,COMP-3f22c6642a7a1344,0.12,0.15,2.3,0.1,2.25,0.04,6.2,0.0,0.06,0.115,0.0,0.0,0.0,0.0
61,Proper_Training,COMP-3f22c6642a7a1344,0.12,0.15,2.3,0.1,2.25,0.04,6.2,0.0,0.06,0.115,0.0,0.0,0.0,0.0
62,Proper_Training,COMP-21d126c9d34df073,0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0
63,Proper_Training,COMP-21d126c9d34df073,0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0
64,Proper_Training,COMP-3157f0dc71f862ff,0.0,0.0,1.5,0.0,2.65,0.21,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Proper_Training,COMP-7c0b488137fafb3b,0.4,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.05,0.0,0.0,0.0,0.0
66,Proper_Training,COMP-b8df58296dba2095,0.2,0.3,1.55,0.15,2.6,0.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Proper_Training,COMP-49d8e1edbf1c2fbd,0.0,0.0,1.6,0.0,2.5,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Proper_Training,COMP-21d126c9d34df073,0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0
69,Proper_Training,COMP-8cee7ef8867afd2d,0.2,0.35,1.67,0.3,2.22,0.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Final_Test,COMP-21d126c9d34df073,0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0
71,Calibration,COMP-1d7678b3045c4ea0,0.3,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
72,Final_Test,COMP-5c8864a5b5a796a2,0.2,0.57,1.76,0.15,3.64,0.5,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Final_Test,COMP-f26835746d07a8ed,0.4,0.6,0.65,0.55,1.6,0.0,7.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0
74,Proper_Training,COMP-f9a00d6d8411a0d1,0.16,0.28,4.52,0.58,1.62,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0
75,Final_Test,COMP-eed681a2a7c8f6ea,0.0,0.0,2.2,0.0,2.5,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Final_Test,COMP-b2e9edd7bc55d085,0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Final_Test,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
78,Final_Test,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
79,Final_Test,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
80,Proper_Training,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
81,Calibration,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
82,Final_Test,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
