Composition_ID,Group_Size
COMP-0107563adaed8d01,1
COMP-0346738121cb655e,3
COMP-04efc8262905d7f8,1
COMP-05480af3b167ab05,1
COMP-055230aabe7d502c,3
COMP-06072d2dd3b021af,4
COMP-06f5d2a767a65349,2
COMP-07605730efeebf09,1
COMP-0765adc8c505dd3b,5
COMP-091a20b5a1dfb76f,1
COMP-0966c0019ec07f39,3
COMP-0b39eb01c3244861,1
COMP-0b765af90e5ebd4c,8
COMP-0d41a2cf75110ad6,1
COMP-0d7ce00a50a6a24f,1
COMP-0e256dc7494452a7,2
COMP-0ee2ef468faff8db,3
COMP-10bc0cc0eed744ff,1
COMP-13d94d763db48174,1
COMP-1500bf64677ea3f3,1
COMP-150ce51691dfb5f9,3
COMP-15c7378d46cadefa,3
COMP-18a770c2c666cd6e,2
COMP-1af7d3f3b3b924e5,2
COMP-1d7678b3045c4ea0,1
COMP-1dbd3647b4982092,1
COMP-1fc9679353325516,2
COMP-1fd6703042cef43b,1
COMP-20d1e620c817cb5a,1
COMP-21d126c9d34df073,4
COMP-221944a235b3f36b,4
COMP-23c722316cb8c143,1
COMP-266a388f7afdbe91,3
COMP-27021c945dc6ef2d,3
COMP-2753cd2e053c8c98,1
COMP-289a02a6b94655b9,2
COMP-2aa03f29266998cd,1
COMP-30cef922979fb9fd,6
COMP-3157f0dc71f862ff,1
COMP-336edc956702c406,1
COMP-35e38ea13dc05b9e,1
COMP-3632fb12e94bc35a,1
COMP-384273ac244080b1,3
COMP-3f22c6642a7a1344,2
COMP-435a8f4ba56d8b5d,5
COMP-445f55453794f59c,1
COMP-44fea4804e888e0a,1
COMP-46d2179ac0483904,1
COMP-46e30c1bd5e987da,1
COMP-478c9f483894c42c,34
COMP-49d8e1edbf1c2fbd,1
COMP-4a76c05754ee1efa,1
COMP-4ef2bcae5243588c,1
COMP-5479c448b954c055,2
COMP-5502f8bc72167a0b,4
COMP-598bc18a3ba07a9e,1
COMP-59ce4655e65cf94a,2
COMP-59f47d6774b9fdfb,6
COMP-5b7ad391f7bece77,1
COMP-5c79458445b7792b,1
COMP-5c8864a5b5a796a2,1
COMP-609dfbaf681359b8,1
COMP-614713a2dee2f170,2
COMP-61eacf6ed2301b5b,1
COMP-630f3050f45faf36,2
COMP-631a18a4a6b20c0c,2
COMP-6360354242bed7fe,1
COMP-6525c735bb50fb1c,1
COMP-69c6ecd7284d3b47,2
COMP-6b4f0394292930ba,1
COMP-6f2ca218fbd1923b,37
COMP-71e5c04022dfc18d,1
COMP-725d39a40881dc4b,9
COMP-73d52e7a36d559a9,1
COMP-773f99d6dc417f9e,3
COMP-7c0b488137fafb3b,1
COMP-7decbe1f0284bd78,2
COMP-7fb1fecc93ced403,4
COMP-81f8a3600f73b006,4
COMP-862c9c676a6f1012,1
COMP-87a7ec252c82f56c,2
COMP-880bd22028629a8e,1
COMP-889d7d6c6dbf5b76,1
COMP-89919c53d3149a2d,16
COMP-8bbe9ce01fb6a2d3,3
COMP-8cbd3d61fbddfed7,1
COMP-8cee7ef8867afd2d,1
COMP-8e1fe5f59d3c7565,2
COMP-92ece298f11712f0,1
COMP-92ed17371ff559b6,5
COMP-93900d7c81c38cdd,2
COMP-941f92def7f50542,4
COMP-948abb1ebd270642,1
COMP-95a56990f4bea8a9,32
COMP-98f4f40f49690531,3
COMP-9b0e3106e10f71db,1
COMP-a14831ff30c0b14d,10
COMP-a35a20d65351aafe,1
COMP-a7670bf71188b1d6,3
COMP-a85acb2f2da0216b,8
COMP-a87a2533a652007c,2
COMP-b0cc51380afea02b,2
COMP-b2e9edd7bc55d085,4
COMP-b611e8d56579c910,1
COMP-b72f6533b137a4f6,1
COMP-b775405901636085,1
COMP-b878df279a448475,1
COMP-b8df58296dba2095,1
COMP-b9abc443805301b1,2
COMP-c1d72bb5d7d164b0,3
COMP-c3fd3ced51ab8b71,1
COMP-c5291f330c2c6e04,1
COMP-ccf6dcf28fdd3907,1
COMP-d0b1666c8036d66c,3
COMP-d7494ade7e8dd694,1
COMP-d8a14990923ce9f7,1
COMP-da3c1cfbe5442077,1
COMP-dbc0864492ec7b98,17
COMP-dd1e9c4c0f247912,1
COMP-ddfcf6030a718a0c,3
COMP-e1e52574fbb04f58,8
COMP-e295ac85ac1ada41,4
COMP-e60cc4ecffe6b7df,1
COMP-e7dd60e0f9c84a63,1
COMP-e913f917a7e36868,5
COMP-ea1f0dc96a173899,2
COMP-ea2a626c3522e4a5,10
COMP-ea549c551a2ec0fe,1
COMP-eacd4f126ab29a30,3
COMP-eae7689b221fd7f8,1
COMP-ecf6515f14a6b22f,1
COMP-edeedccfd8f07e13,2
COMP-eed681a2a7c8f6ea,1
COMP-f26835746d07a8ed,1
COMP-f6d84b53636ddfbe,1
COMP-f9a00d6d8411a0d1,1
COMP-f9d9cbed014e8b80,28
COMP-fc5c3e46d2655b62,1
