Definition,Group_Size,Number_Of_Groups,Records_In_Groups
Exact descriptors plus targets,1,444,444
Exact descriptors plus targets,2,4,8
Elemental composition only,1,72,72
Elemental composition only,2,22,44
Elemental composition only,3,17,51
Elemental composition only,4,9,36
Elemental composition only,5,4,20
Elemental composition only,6,2,12
Elemental composition only,8,3,24
Elemental composition only,9,1,9
Elemental composition only,10,2,20
Elemental composition only,16,1,16
Elemental composition only,17,1,17
Elemental composition only,28,1,28
Elemental composition only,32,1,32
Elemental composition only,34,1,34
Elemental composition only,37,1,37
Elemental composition plus processing,1,402,402
Elemental composition plus processing,2,11,22
Elemental composition plus processing,4,7,28
