Validation_Type,Repeat,Fold,Outer_ID,Original_Index,Role,Composition_ID,Group_Overlap
Fixed_Rowwise,1,1,R01_F01,1,Training,COMP-27021c945dc6ef2d,
Fixed_Rowwise,1,1,R01_F01,3,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,4,Training,COMP-862c9c676a6f1012,
Fixed_Rowwise,1,1,R01_F01,5,Training,COMP-8e1fe5f59d3c7565,
Fixed_Rowwise,1,1,R01_F01,6,Training,COMP-27021c945dc6ef2d,
Fixed_Rowwise,1,1,R01_F01,7,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,10,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,12,Training,COMP-725d39a40881dc4b,
Fixed_Rowwise,1,1,R01_F01,14,Training,COMP-609dfbaf681359b8,
Fixed_Rowwise,1,1,R01_F01,17,Training,COMP-773f99d6dc417f9e,
Fixed_Rowwise,1,1,R01_F01,20,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,1,R01_F01,21,Training,COMP-0b765af90e5ebd4c,
Fixed_Rowwise,1,1,R01_F01,23,Training,COMP-81f8a3600f73b006,
Fixed_Rowwise,1,1,R01_F01,26,Training,COMP-7decbe1f0284bd78,
Fixed_Rowwise,1,1,R01_F01,27,Training,COMP-73d52e7a36d559a9,
Fixed_Rowwise,1,1,R01_F01,28,Training,COMP-3632fb12e94bc35a,
Fixed_Rowwise,1,1,R01_F01,32,Training,COMP-81f8a3600f73b006,
Fixed_Rowwise,1,1,R01_F01,35,Training,COMP-a87a2533a652007c,
Fixed_Rowwise,1,1,R01_F01,37,Training,COMP-f6d84b53636ddfbe,
Fixed_Rowwise,1,1,R01_F01,43,Training,COMP-9b0e3106e10f71db,
Fixed_Rowwise,1,1,R01_F01,44,Training,COMP-0d7ce00a50a6a24f,
Fixed_Rowwise,1,1,R01_F01,45,Training,COMP-59ce4655e65cf94a,
Fixed_Rowwise,1,1,R01_F01,47,Training,COMP-e295ac85ac1ada41,
Fixed_Rowwise,1,1,R01_F01,49,Training,COMP-92ece298f11712f0,
Fixed_Rowwise,1,1,R01_F01,51,Training,COMP-dbc0864492ec7b98,
Fixed_Rowwise,1,1,R01_F01,52,Training,COMP-06f5d2a767a65349,
Fixed_Rowwise,1,1,R01_F01,53,Training,COMP-06f5d2a767a65349,
Fixed_Rowwise,1,1,R01_F01,54,Training,COMP-ea1f0dc96a173899,
