Validation_Type,Repeat,Fold,Feature_Order,Feature,Mandatory
Fixed_Rowwise,1,1,1,Tsol,True
Fixed_Rowwise,1,1,2,Tage,True
Fixed_Rowwise,1,1,3,tage,True
Fixed_Rowwise,1,1,4,Zn,False
Fixed_Rowwise,1,1,5,Mg,False
Fixed_Rowwise,1,1,6,Cu,False
Fixed_Rowwise,1,1,7,Ti,False
Fixed_Rowwise,1,1,8,Fe,False
Fixed_Rowwise,1,1,9,Si,False
Fixed_Rowwise,1,1,10,Zr,False
Fixed_Rowwise,1,1,11,Sc,False
Fixed_Rowwise,1,1,12,Li,False
Fixed_Rowwise,1,2,1,Tsol,True
Fixed_Rowwise,1,2,2,Tage,True
Fixed_Rowwise,1,2,3,tage,True
Fixed_Rowwise,1,2,4,Zn,False
Fixed_Rowwise,1,2,5,Mg,False
Fixed_Rowwise,1,2,6,Cu,False
Fixed_Rowwise,1,2,7,Ti,False
Fixed_Rowwise,1,2,8,Fe,False
Fixed_Rowwise,1,2,9,Si,False
Fixed_Rowwise,1,2,10,Zr,False
Fixed_Rowwise,1,2,11,Sc,False
Fixed_Rowwise,1,2,12,Cr,False
Fixed_Rowwise,1,3,1,Tsol,True
Fixed_Rowwise,1,3,2,Tage,True
Fixed_Rowwise,1,3,3,tage,True
Fixed_Rowwise,1,3,4,Zn,False
Fixed_Rowwise,1,3,5,Mg,False
Fixed_Rowwise,1,3,6,Cu,False
Fixed_Rowwise,1,3,7,Ti,False
Fixed_Rowwise,1,3,8,Fe,False
Fixed_Rowwise,1,3,9,Zr,False
Fixed_Rowwise,1,3,10,Sc,False
Fixed_Rowwise,1,3,11,Si,False
Fixed_Rowwise,1,3,12,Cr,False
Fixed_Rowwise,1,4,1,Tsol,True
Fixed_Rowwise,1,4,2,Tage,True
Fixed_Rowwise,1,4,3,tage,True
Fixed_Rowwise,1,4,4,Zn,False
Fixed_Rowwise,1,4,5,Mg,False
Fixed_Rowwise,1,4,6,Cu,False
Fixed_Rowwise,1,4,7,Ti,False
Fixed_Rowwise,1,4,8,Zr,False
Fixed_Rowwise,1,4,9,Fe,False
Fixed_Rowwise,1,4,10,Si,False
Fixed_Rowwise,1,4,11,Li,False
Fixed_Rowwise,1,4,12,Sc,False
Fixed_Rowwise,1,5,1,Tsol,True
Fixed_Rowwise,1,5,2,Tage,True
Fixed_Rowwise,1,5,3,tage,True
Fixed_Rowwise,1,5,4,Zn,False
Fixed_Rowwise,1,5,5,Mg,False
Fixed_Rowwise,1,5,6,Cu,False
Fixed_Rowwise,1,5,7,Ti,False
Fixed_Rowwise,1,5,8,Zr,False
Fixed_Rowwise,1,5,9,Fe,False
Fixed_Rowwise,1,5,10,Sc,False
Fixed_Rowwise,1,5,11,Si,False
Fixed_Rowwise,1,5,12,Cr,False
Fixed_Rowwise,2,1,1,Tsol,True
Fixed_Rowwise,2,1,2,Tage,True
Fixed_Rowwise,2,1,3,tage,True
Fixed_Rowwise,2,1,4,Zn,False
Fixed_Rowwise,2,1,5,Mg,False
Fixed_Rowwise,2,1,6,Cu,False
Fixed_Rowwise,2,1,7,Fe,False
Fixed_Rowwise,2,1,8,Ti,False
Fixed_Rowwise,2,1,9,Zr,False
Fixed_Rowwise,2,1,10,Si,False
Fixed_Rowwise,2,1,11,Sc,False
Fixed_Rowwise,2,1,12,Cr,False
Fixed_Rowwise,2,2,1,Tsol,True
Fixed_Rowwise,2,2,2,Tage,True
Fixed_Rowwise,2,2,3,tage,True
Fixed_Rowwise,2,2,4,Zn,False
