Member,Seed,Bootstrap_Size,Bootstrap_Source,Bootstrap_Index_Hash
1,60043,270,Proper_Training_only,33d021390a366a953685b4a5577b2443d6ae38506ca82f36846e11abb799a68b
2,60044,270,Proper_Training_only,989fff345744e9d4fedf2da13d38d862165e0cbce42b9912e99c1ecc6f759fbb
3,60045,270,Proper_Training_only,2948a733aac85d620b615b8dfae0ac608398fc7ba96a2c7da9eb1610f3b866b5
4,60046,270,Proper_Training_only,0935c3d54559db11baf7a23950ee90e98f3c8b4ff84dd5e2efb3c3d6b4911f6f
5,60047,270,Proper_Training_only,cc21789d547bb9d54f59e31a30684eb3fba2ec9204248a248f1a9a27ae259ca0
6,60048,270,Proper_Training_only,2325d1cf6c841864fac22c6106d48f4ab7e8b1d5d702b711877280893642be22
7,60049,270,Proper_Training_only,7f49fb8cda7f723636b5dd984e8e17bc9dc4f9c609cf8a178c1134db9a33644c
8,60050,270,Proper_Training_only,95df69f04b6287c5fa91e3e9689972168d9614645c8fa1791b76c66f2e4ed333
9,60051,270,Proper_Training_only,1c31fbb71fb21544b71b1f1e813fe460e63777921633683c5b02ef90ac643738
10,60052,270,Proper_Training_only,50db8ad02bff80dad5951f22eeafc797b9811661aefacc3ee8881c40710e07ce
11,60053,270,Proper_Training_only,db9205a0cba88da768c7e94df0f68c4c26d3d384fb19eea8a25eeb5a344f736b
12,60054,270,Proper_Training_only,9b77866db9008810ce990806811ea7817ba806bc040a698c66c828c4d33a41ae
13,60055,270,Proper_Training_only,47ffae3501c35866f02cde3a2159b8eae1261d6f4cbaeb4002b55a3a5cfd8bc7
14,60056,270,Proper_Training_only,ba5749044b1983592ffbb8c3dbea06ac3f4f9cdd068dd7d72f0884e72d666aa5
15,60057,270,Proper_Training_only,87745b52c274ae5e3128a250a3d23fb9b9d14c51d8e0a6e1e2917f2a10b81316
16,60058,270,Proper_Training_only,4f8ef2158dd7a7c93f08e429922ddbd017a619427f44e63536604c5d4e03f792
17,60059,270,Proper_Training_only,0e525e69bcfa5fadb9e2389429f01a37462e474a09dba703d1f56aa0de2ecf3c
18,60060,270,Proper_Training_only,5ba5eb922fd52edde7471de66aabfa24745a3355722dc3b531fda0a6469fc4aa
19,60061,270,Proper_Training_only,55219cc0748f30bf7f0739b0d1972d1ad3ca5f4f83aa049e8f0857a9b55bb115
20,60062,270,Proper_Training_only,e5c819d3f7d2da5801917be2aac2deef1d853ce71c99c53bcb1bea9a65cbf8c4
