Target,Feature,MeanAbsoluteSHAP
YS,Tsol,17.565424370936807
YS,Tage,18.27956612024113
YS,tage,12.045996132810616
YS,Zn,51.57290929193884
YS,Mg,7.6673173595692194
YS,Cu,14.955757713547897
YS,Ti,6.127833899007857
YS,Fe,6.180696989333957
YS,Zr,5.793750654265563
YS,Si,3.794304536263962
YS,Sc,3.5265170473097474
YS,Cr,1.446548970157721
UTS,Tsol,11.965371375810186
UTS,Tage,9.940499900812844
UTS,tage,7.025323095733564
UTS,Zn,43.345840733579756
UTS,Mg,7.942009450255473
UTS,Cu,18.527421772283688
UTS,Ti,6.328000568016538
UTS,Fe,6.268556469922075
UTS,Zr,7.9526412715787265
UTS,Si,4.578715496962454
UTS,Sc,2.0142439969820476
UTS,Cr,2.105258559670826
El,Tsol,0.5051462720551476
El,Tage,1.4940162035954967
El,tage,0.5886976232887178
El,Zn,1.1833050502616143
El,Mg,0.4312479209813771
El,Cu,0.9453391600471671
El,Ti,0.2276629130210516
El,Fe,0.2854057617239241
El,Zr,0.5833820639834453
El,Si,0.5592325396632817
El,Sc,0.142880034803928
El,Cr,0.24434396613586487
