Heldout_Condition_ID,Source_Original_Indices,Data_Split,KNN_k,KNN_Mean_Distance,KNN_AD_Threshold,Distance_AD_Status,Within_All_Training_Feature_Ranges,Applicability_Domain_Status
HTC-001,192,Final_Test,5,0.3547666594222214,2.6849196546971856,Inside,True,Inside
HTC-002,165,Final_Test,5,2.026541747838864,2.6849196546971856,Inside,True,Inside
HTC-003,113,Final_Test,5,1.6316774952997828,2.6849196546971856,Inside,True,Inside
HTC-004,93,Final_Test,5,0.26991590979361313,2.6849196546971856,Inside,True,Inside
HTC-005,77,Final_Test,5,0.3810534411728722,2.6849196546971856,Inside,True,Inside
HTC-006,78,Final_Test,5,0.5177786435486735,2.6849196546971856,Inside,True,Inside
HTC-007,79,Final_Test,5,0.38602021299249134,2.6849196546971856,Inside,True,Inside
HTC-008,82,Final_Test,5,0.47551066671371833,2.6849196546971856,Inside,True,Inside
HTC-009,101,Final_Test,5,0.47543508793588574,2.6849196546971856,Inside,True,Inside
HTC-010,204,Final_Test,5,1.310194695190089,2.6849196546971856,Inside,True,Inside
HTC-011,153,Final_Test,5,5.128134330234131,2.6849196546971856,Outside,True,Outside
HTC-012,90,Final_Test,5,0.1472132896293293,2.6849196546971856,Inside,True,Inside
HTC-013,0,Final_Test,5,0.7791242556911995,2.6849196546971856,Inside,True,Inside
HTC-014,75,Final_Test,5,1.144737291236761,2.6849196546971856,Inside,True,Inside
HTC-015,116,Final_Test,5,0.6679450713164397,2.6849196546971856,Inside,True,Inside
HTC-016,117,Final_Test,5,0.6629031221361952,2.6849196546971856,Inside,True,Inside
HTC-017,180,Final_Test,5,0.9052160473103857,2.6849196546971856,Inside,True,Inside
HTC-018,439;446,Final_Test,5,0.008661946845712254,2.6849196546971856,Inside,True,Inside
HTC-019,426;433;447,Final_Test,5,0.011549262460949672,2.6849196546971856,Inside,True,Inside
HTC-020,428;442,Final_Test,5,0.005774631230474825,2.6849196546971856,Inside,True,Inside
HTC-021,443,Final_Test,5,0.00721828903809354,2.6849196546971856,Inside,True,Inside
HTC-022,437,Final_Test,5,0.010105604653330954,2.6849196546971856,Inside,True,Inside
HTC-023,287,Final_Test,5,0.36361438113291233,2.6849196546971856,Inside,True,Inside
HTC-024,289,Final_Test,5,0.3402834032890828,2.6849196546971856,Inside,True,Inside
HTC-025,290,Final_Test,5,0.32298535424340014,2.6849196546971856,Inside,True,Inside
HTC-026,291,Final_Test,5,0.30573896965438163,2.6849196546971856,Inside,True,Inside
HTC-027,297,Final_Test,5,0.45577602789857935,2.6849196546971856,Inside,True,Inside
HTC-028,298,Final_Test,5,0.19614046450454903,2.6849196546971856,Inside,True,Inside
HTC-029,299,Final_Test,5,0.18457827972072843,2.6849196546971856,Inside,True,Inside
HTC-030,302,Final_Test,5,0.13570383391615856,2.6849196546971856,Inside,True,Inside
HTC-031,304,Final_Test,5,0.12126725583997149,2.6849196546971856,Inside,True,Inside
HTC-032,312,Final_Test,5,0.12007758481093005,2.6849196546971856,Inside,True,Inside
HTC-033,317,Final_Test,5,0.20628482370908302,2.6849196546971856,Inside,True,Inside
HTC-034,70,Final_Test,5,1.1515520430844468,2.6849196546971856,Inside,True,Inside
HTC-035,368,Final_Test,5,0.7676413610317009,2.6849196546971856,Inside,True,Inside
HTC-036,227,Final_Test,5,0.8459783916050032,2.6849196546971856,Inside,True,Inside
HTC-037,218,Final_Test,5,0.9218890368685637,2.6849196546971856,Inside,True,Inside
HTC-038,39,Final_Test,5,1.8289809313993803,2.6849196546971856,Inside,True,Inside
HTC-039,196,Final_Test,5,1.5614967667942579,2.6849196546971856,Inside,True,Inside
HTC-040,209,Final_Test,5,1.0515678966165658,2.6849196546971856,Inside,True,Inside
HTC-041,284,Final_Test,5,0.1730945711334831,2.6849196546971856,Inside,True,Inside
HTC-042,280,Final_Test,5,0.16782522013567483,2.6849196546971856,Inside,True,Inside
HTC-043,278,Final_Test,5,0.16205058890519997,2.6849196546971856,Inside,True,Inside
HTC-044,275,Final_Test,5,0.1490576686366316,2.6849196546971856,Inside,True,Inside
HTC-045,76,Final_Test,5,1.7500796797044273,2.6849196546971856,Inside,True,Inside
HTC-046,336,Final_Test,5,2.0153879281834595,2.6849196546971856,Inside,True,Inside
HTC-047,338,Final_Test,5,1.2965307642812889,2.6849196546971856,Inside,True,Inside
HTC-048,124,Final_Test,5,0.23578906333926394,2.6849196546971856,Inside,True,Inside
HTC-049,353,Final_Test,5,1.7222837644891187,2.6849196546971856,Inside,True,Inside
HTC-050,234,Final_Test,5,3.214757144870416,2.6849196546971856,Outside,False,Outside
HTC-051,140,Final_Test,5,0.05052802326665477,2.6849196546971856,Inside,True,Inside
HTC-052,132,Final_Test,5,0.057746312304748325,2.6849196546971856,Inside,True,Inside
HTC-053,137,Final_Test,5,0.21116050683715332,2.6849196546971856,Inside,True,Inside
HTC-054,42,Final_Test,5,2.20471752401881,2.6849196546971856,Inside,True,Inside
HTC-055,19,Final_Test,5,1.2461678816907575,2.6849196546971856,Inside,True,Inside
HTC-056,72,Final_Test,5,5.53668799585777,2.6849196546971856,Outside,False,Outside
HTC-057,22,Final_Test,5,1.7736245685603453,2.6849196546971856,Inside,True,Inside
HTC-058,57,Final_Test,5,1.5641059835275946,2.6849196546971856,Inside,True,Inside
HTC-059,56,Final_Test,5,1.541070629193806,2.6849196546971856,Inside,True,Inside
HTC-060,332,Final_Test,5,0.3010026528885007,2.6849196546971856,Inside,True,Inside
HTC-061,73,Final_Test,5,3.456051596524629,2.6849196546971856,Outside,True,Outside
HTC-062,33,Final_Test,5,1.8663609403491193,2.6849196546971856,Inside,True,Inside
HTC-063,30,Final_Test,5,0.88869855620194,2.6849196546971856,Inside,True,Inside
HTC-064,25,Final_Test,5,1.5671297265327744,2.6849196546971856,Inside,True,Inside
HTC-065,355,Final_Test,5,1.0222636921186876,2.6849196546971856,Inside,True,Inside
HTC-066,340,Final_Test,5,1.1615804206970295,2.6849196546971856,Inside,True,Inside
HTC-067,244,Final_Test,5,2.392324298147936,2.6849196546971856,Inside,True,Inside
HTC-068,409,Final_Test,5,0.854785676779154,2.6849196546971856,Inside,True,Inside
HTC-069,245,Final_Test,5,1.1606794063262538,2.6849196546971856,Inside,True,Inside
HTC-070,423,Final_Test,5,0.2630974380581076,2.6849196546971856,Inside,True,Inside
