Original_Index,ReliabilityAwareScore,ReliabilityAwareRank,Rank_Source
291,0.4706128034455004,1,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
290,0.4461945241941425,2,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
297,0.437544380670239,3,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
299,0.4347545192835058,4,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
289,0.43116601887069406,5,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
137,0.41274080591321044,6,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
132,0.40916638899552193,7,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
298,0.4045458013494252,8,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
287,0.3784057987397912,9,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
192,0.3721441026409459,10,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
278,0.3678466744967593,11,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
275,0.36478240234012627,12,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
304,0.3628943604353841,13,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
116,0.36222954486703396,14,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
302,0.3616934370009634,15,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
284,0.35590464771175834,16,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
353,0.34780269731457514,17,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
209,0.3332857836015428,18,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
280,0.3319823392709148,19,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
312,0.31244939382113956,20,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
117,0.28730453464646977,21,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
218,0.2849954495777058,22,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
113,0.272160540340759,23,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
124,0.24542962462704393,24,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
75,0.23653368858387425,25,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
73,0.23275311098580934,26,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
420,0.22760494108845514,27,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
196,0.21542386541781583,28,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
439,0.2119074126000111,29,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
446,0.2119074126000111,30,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
9,0.20353565401048937,31,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
317,0.18109167490785427,32,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
140,0.18034254913398134,33,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
79,0.17102450505069725,34,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
39,0.15776630058728444,35,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
234,0.14812558601580014,36,ReliabilityAwareScore = PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
