Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Reported_NonAl_Element_Sum,Calculated_Al_Balance,Al_Balance_Basis,Composition_Total_Exceeds_100,Al_Balance_Nonnegative,Elemental_Values_Nonnegative,Missing_Element_Count,Missing_Element_Columns,Composition_Feasible
HTC-001,192,1,Final_Test,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24,8.11,91.89,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-002,165,1,Final_Test,0.0,0.0,0.19,0.0,2.55,0.0,6.98,0.0,0.0,0.29,0.0,0.0,0.0,0.27,10.28,89.72,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-003,113,1,Final_Test,0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22,10.440000000000003,89.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-004,93,1,Final_Test,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,7.44,92.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-005,77,1,Final_Test,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,7.44,92.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-006,78,1,Final_Test,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,7.44,92.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-007,79,1,Final_Test,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,7.44,92.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-008,82,1,Final_Test,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,7.44,92.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-009,101,1,Final_Test,0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,7.4399999999999995,92.56,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-010,204,1,Final_Test,0.0,0.0,1.2,0.0,2.0,0.0,0.0,0.0,0.0,0.12,2.5,0.0,0.0,0.0,5.82,94.18,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
