Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,Calculated_Al_Balance,Reported_NonAl_Element_Sum,Composition_Total_Exceeds_100,Al_Balance_Nonnegative,Missing_Element_Count,Missing_Element_Columns,Composition_Feasible,Out_of_Range_Feature_Count,Out_of_Range_Features,Out_of_Range_Composition_Count,Out_of_Range_Composition_Variables,Out_of_Range_Processing_Count,Out_of_Range_Processing_Variables,Selected_Feature_Range_Violations,Within_All_Training_Feature_Ranges,Within_All_Training_Raw_Ranges,Pred_YS,Pred_UTS,Pred_El,EnsembleStd_YS,EnsembleStd_UTS,EnsembleStd_El,Lower_YS,Upper_YS,Lower_UTS,Upper_UTS,Lower_El,Upper_El,UncWidth_YS,UncWidth_UTS,UncWidth_El,NormalizedUncWidth_YS,NormalizedUncWidth_UTS,NormalizedUncWidth_El,NormalizedPred_YS,NormalizedPred_UTS,NormalizedPred_El,StrengthScore,DuctilityScore,NormalizedUncertaintyPenalty,PropertyOnlyScore,PropertyOnlyRank,ReliabilityAwareScore,ReliabilityAwareRank,RankShift,KNN_k,KNN_Mean_Distance,KNN_AD_Threshold,Distance_AD_Status,Applicability_Domain_Status,Recommendation_Eligible
HTC-026,291,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,20.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,520.2278500000012,587.0550437499987,15.758047499999844,9.089897043920152,5.200132066621265,0.21900530363379875,476.2062127700645,564.2494872299379,563.9976142314189,610.1124732685786,14.518286658473455,16.99780834152623,88.04327445987343,46.114859037159704,2.4795216830527753,0.7310956948528105,0.44408492954012485,0.3430353953384566,0.7757328874440838,0.8322315016394674,0.6255858173605405,0.8039821945417756,0.6255858173605405,0.5060720065771306,0.5718272047609265,8,0.4706128034455004,1,7,5,0.30573896965438163,2.6849196546971856,Inside,Inside,True
HTC-025,290,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,14.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,510.78366875000063,581.154124999999,15.889981249999844,11.993235845392416,5.0631418443016365,0.2604590875887366,452.70139621079034,568.8659412892109,558.7041112834273,603.6041387165707,14.41555588263295,17.36440661736674,116.16454507842059,44.90002743314335,2.9488507347337904,0.9646097254149152,0.4323861318307359,0.40796585264706214,0.7526526551139917,0.8169548949128209,0.6315094871207356,0.7848037750134063,0.6315094871207356,0.6016539032975711,0.5665253048536567,10,0.4461945241941425,2,8,5,0.32298535424340014,2.6849196546971856,Inside,Inside,True
HTC-027,297,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,88.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,537.521224999997,587.9322000000057,15.72437687500008,9.16100703295412,8.056787186717559,0.45578858631571006,493.1552078368103,581.8872421631837,552.2083375678012,623.6560624322101,13.144216401490503,18.30453734850966,88.73203432637342,71.44772486440888,5.160320947019155,0.7368150343057637,0.6880397885776012,0.7139170220744375,0.8179954300833711,0.8345023295625219,0.6240740460122846,0.8262488798229465,0.6240740460122846,0.7129239483192675,0.5801291703340925,5,0.437544380670239,3,2,5,0.45577602789857935,2.6849196546971856,Inside,Inside,True
HTC-029,299,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,140.0,4.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,541.9518562499977,577.5131499999972,15.091699999999918,7.628699469600551,3.661972074307743,0.6610623096975619,505.0066808497602,578.8970316502352,561.2759348699165,593.7503651300779,11.349511446803305,18.83388855319653,73.89035080047506,32.4744302601614,7.484377106393225,0.6135723335234629,0.3127279444206605,1.035444165341081,0.8288232610950828,0.807528948626646,0.5956676005621006,0.8181761048608645,0.5956676005621006,0.6539148144284015,0.5655374821691861,12,0.4347545192835058,4,8,5,0.18457827972072843,2.6849196546971856,Inside,Inside,True
HTC-024,289,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,8.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,501.22828749999974,577.5607312499989,15.846250624999826,14.94545776073062,4.044240343098381,0.2382734345517181,428.8486426794126,573.6079323205869,559.6285353896294,595.4929271103683,14.497415378815916,17.195085871183736,144.7592896411743,35.86439172073892,2.69767049236782,1.202055399414386,0.34537318779332743,0.3732157174374616,0.7293006658398965,0.8076521294523163,0.629546033638158,0.7684763976461064,0.629546033638158,0.6402147682150584,0.5592089725137057,17,0.43116601887069406,5,12,5,0.3402834032890828,2.6849196546971856,Inside,Inside,True
HTC-053,137,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,130.0,24.0,91.03,8.969999999999999,False,True,0,,True,0,,0,,0,,,True,True,514.1886625000006,544.3447687500012,12.53641875000002,3.335544273502969,1.6388159639249382,0.46873441425844165,498.03489095102236,530.3424340489789,537.0782448894671,551.6112926105353,9.882973613765895,15.189863886234146,32.30754309795657,14.533047721068215,5.306890272468252,0.26827609280880027,0.13995288303956957,0.7341945081894284,0.7609739743212557,0.7216609105155154,0.48093848637094044,0.7413174424183855,0.48093848637094044,0.38080782801259944,0.48890237151573035,31,0.41274080591321044,6,25,5,0.21116050683715332,2.6849196546971856,Inside,Inside,True
HTC-052,132,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,24.0,91.03,8.969999999999999,False,True,0,,True,0,,0,,0,,,True,True,515.4367875000006,544.1837125000013,12.447831250000023,3.2858226291901,1.6352092288786995,0.4955220470741158,499.523813858351,531.3497611416502,536.9331809331043,551.4342440668984,9.642744778443818,15.252917721556228,31.82594728329923,14.501063133794105,5.61017294311241,0.2642770068034793,0.13964487227075106,0.7761528792473626,0.7640242138512301,0.7212439596818648,0.47696101210918956,0.7426340867665475,0.47696101210918956,0.3933582527738643,0.4878380395502948,32,0.40916638899552193,7,25,5,0.057746312304748325,2.6849196546971856,Inside,Inside,True
HTC-028,298,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,140.0,2.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,529.2803187499984,571.6777187499978,15.616958124999902,7.923096391253981,4.0763145282225794,0.9147410555211177,490.9094028369958,567.651234663001,553.6033056820709,589.7521318179247,10.438726901507852,20.795189348491952,76.74183182600518,36.148826135853824,10.3564624469841,0.6372505248959301,0.348112284037627,1.4327897247646106,0.7978558302784157,0.7924218793610969,0.6192510708368346,0.7951388548197562,0.6192510708368346,0.8060508445660558,0.5657559702626364,11,0.4045458013494252,8,3,5,0.19614046450454903,2.6849196546971856,Inside,Inside,True
HTC-023,287,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,2.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,477.0432062500005,565.6908375000003,16.85522312499983,18.292393499788588,4.778361008868501,0.5331181284846854,388.4546219812841,565.6317905187168,544.5035444113839,586.8781305886166,13.83731008428741,19.873136165712253,177.1771685374327,42.374586177232686,6.035826081424844,1.4712477010718632,0.4080661962263553,0.8350408871950442,0.6701957758133418,0.7769227284237366,0.6748477088131491,0.7235592521185392,0.6748477088131491,0.904784928164421,0.5593627843726754,16,0.3784057987397912,9,7,5,0.36361438113291233,2.6849196546971856,Inside,Inside,True
HTC-001,192,1,Final_Test,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24,470.0,120.0,48.0,91.89,8.11,False,True,0,,True,0,,0,,0,,,True,True,524.5240312499993,557.5132124999984,12.517738125000003,8.15471146498025,7.29725807498844,0.4120025235949629,485.03142224277565,564.016640257223,525.1571085598788,589.869316440118,10.185444906695793,14.850031343304213,78.98521801444736,64.71220788023925,4.66458643660842,0.6558792048754536,0.6231769298855471,0.6453334380211243,0.7862321418270019,0.7557520656209271,0.4800997483420877,0.7709921037239644,0.4800997483420877,0.641463190927375,0.5004367408264209,30,0.3721441026409459,10,20,5,0.3547666594222214,2.6849196546971856,Inside,Inside,True
