Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,Calculated_Al_Balance,Pred_YS,Pred_UTS,Pred_El,Lower_YS,Upper_YS,Lower_UTS,Upper_UTS,Lower_El,Upper_El,UncWidth_YS,UncWidth_UTS,UncWidth_El,NormalizedUncertaintyPenalty,StrengthScore,DuctilityScore,PropertyOnlyScore,PropertyOnlyRank,ReliabilityAwareScore,ReliabilityAwareRank,Composition_Feasible,KNN_Mean_Distance,KNN_AD_Threshold,Applicability_Domain_Status,Recommendation_Eligible
HTC-026,291,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,20.0,89.33,520.2278500000012,587.0550437499987,15.758047499999844,476.2062127700645,564.2494872299379,563.9976142314189,610.1124732685786,14.518286658473455,16.99780834152623,88.04327445987343,46.114859037159704,2.4795216830527753,0.5060720065771306,0.8039821945417756,0.6255858173605405,0.5718272047609265,8,0.4706128034455004,1,True,0.30573896965438163,2.6849196546971856,Inside,True
HTC-025,290,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,14.0,89.33,510.78366875000063,581.154124999999,15.889981249999844,452.70139621079034,568.8659412892109,558.7041112834273,603.6041387165707,14.41555588263295,17.36440661736674,116.16454507842059,44.90002743314335,2.9488507347337904,0.6016539032975711,0.7848037750134063,0.6315094871207356,0.5665253048536567,10,0.4461945241941425,2,True,0.32298535424340014,2.6849196546971856,Inside,True
HTC-027,297,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,88.0,89.33,537.521224999997,587.9322000000057,15.72437687500008,493.1552078368103,581.8872421631837,552.2083375678012,623.6560624322101,13.144216401490503,18.30453734850966,88.73203432637342,71.44772486440888,5.160320947019155,0.7129239483192675,0.8262488798229465,0.6240740460122846,0.5801291703340925,5,0.437544380670239,3,True,0.45577602789857935,2.6849196546971856,Inside,True
HTC-029,299,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,140.0,4.0,89.33,541.9518562499977,577.5131499999972,15.091699999999918,505.0066808497602,578.8970316502352,561.2759348699165,593.7503651300779,11.349511446803305,18.83388855319653,73.89035080047506,32.4744302601614,7.484377106393225,0.6539148144284015,0.8181761048608645,0.5956676005621006,0.5655374821691861,12,0.4347545192835058,4,True,0.18457827972072843,2.6849196546971856,Inside,True
HTC-024,289,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,8.0,89.33,501.22828749999974,577.5607312499989,15.846250624999826,428.8486426794126,573.6079323205869,559.6285353896294,595.4929271103683,14.497415378815916,17.195085871183736,144.7592896411743,35.86439172073892,2.69767049236782,0.6402147682150584,0.7684763976461064,0.629546033638158,0.5592089725137057,17,0.43116601887069406,5,True,0.3402834032890828,2.6849196546971856,Inside,True
HTC-053,137,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,130.0,24.0,91.03,514.1886625000006,544.3447687500012,12.53641875000002,498.03489095102236,530.3424340489789,537.0782448894671,551.6112926105353,9.882973613765895,15.189863886234146,32.30754309795657,14.533047721068215,5.306890272468252,0.38080782801259944,0.7413174424183855,0.48093848637094044,0.48890237151573035,31,0.41274080591321044,6,True,0.21116050683715332,2.6849196546971856,Inside,True
HTC-052,132,1,Final_Test,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25,470.0,120.0,24.0,91.03,515.4367875000006,544.1837125000013,12.447831250000023,499.523813858351,531.3497611416502,536.9331809331043,551.4342440668984,9.642744778443818,15.252917721556228,31.82594728329923,14.501063133794105,5.61017294311241,0.3933582527738643,0.7426340867665475,0.47696101210918956,0.4878380395502948,32,0.40916638899552193,7,True,0.057746312304748325,2.6849196546971856,Inside,True
HTC-028,298,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,140.0,2.0,89.33,529.2803187499984,571.6777187499978,15.616958124999902,490.9094028369958,567.651234663001,553.6033056820709,589.7521318179247,10.438726901507852,20.795189348491952,76.74183182600518,36.148826135853824,10.3564624469841,0.8060508445660558,0.7951388548197562,0.6192510708368346,0.5657559702626364,11,0.4045458013494252,8,True,0.19614046450454903,2.6849196546971856,Inside,True
HTC-023,287,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,100.0,2.0,89.33,477.0432062500005,565.6908375000003,16.85522312499983,388.4546219812841,565.6317905187168,544.5035444113839,586.8781305886166,13.83731008428741,19.873136165712253,177.1771685374327,42.374586177232686,6.035826081424844,0.904784928164421,0.7235592521185392,0.6748477088131491,0.5593627843726754,16,0.3784057987397912,9,True,0.36361438113291233,2.6849196546971856,Inside,True
HTC-001,192,1,Final_Test,0.0,0.0,0.0,0.35,1.98,0.0,5.42,0.0,0.0,0.12,0.0,0.0,0.0,0.24,470.0,120.0,48.0,91.89,524.5240312499993,557.5132124999984,12.517738125000003,485.03142224277565,564.016640257223,525.1571085598788,589.869316440118,10.185444906695793,14.850031343304213,78.98521801444736,64.71220788023925,4.66458643660842,0.641463190927375,0.7709921037239644,0.4800997483420877,0.5004367408264209,30,0.3721441026409459,10,True,0.3547666594222214,2.6849196546971856,Inside,True
