Original_Index,PropertyOnlyScore,ReliabilityAwareScore,PropertyOnlyRank,ReliabilityAwareRank,RankShift,PropertyOnly_Source,ReliabilityAware_Source
291,0.5718272047609265,0.4706128034455004,8,1,7,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
290,0.5665253048536567,0.4461945241941425,10,2,8,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
297,0.5801291703340925,0.437544380670239,5,3,2,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
299,0.5655374821691861,0.4347545192835058,12,4,8,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
289,0.5592089725137057,0.43116601887069406,17,5,12,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
137,0.48890237151573035,0.41274080591321044,31,6,25,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
132,0.4878380395502948,0.40916638899552193,32,7,25,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
298,0.5657559702626364,0.4045458013494252,11,8,3,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
287,0.5593627843726754,0.3784057987397912,16,9,7,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
192,0.5004367408264209,0.3721441026409459,30,10,20,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
278,0.6301097712835695,0.3678466744967593,3,11,-8,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
275,0.6033427255353697,0.36478240234012627,4,12,-8,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
304,0.5781822265450115,0.3628943604353841,6,13,-7,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
116,0.5670133728721456,0.36222954486703396,9,14,-5,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
302,0.5754252897768599,0.3616934370009634,7,15,-8,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
284,0.6736761340551043,0.35590464771175834,1,16,-15,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
353,0.5256962255920414,0.34780269731457514,23,17,6,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
209,0.5349862765938768,0.3332857836015428,21,18,3,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
280,0.6442193724809583,0.3319823392709148,2,19,-17,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
312,0.556823423985207,0.31244939382113956,18,20,-2,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
117,0.5650282375368473,0.28730453464646977,13,21,-8,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
218,0.5283825048494792,0.2849954495777058,22,22,0,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
113,0.5168691378977421,0.272160540340759,25,23,2,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
124,0.559535696148437,0.24542962462704393,15,24,-9,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
75,0.5599262016922055,0.23653368858387425,14,25,-11,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
73,0.4668138772160744,0.23275311098580934,35,26,9,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
420,0.469413277567672,0.22760494108845514,34,27,7,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
196,0.39813208339127604,0.21542386541781583,43,28,15,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
439,0.2396258139458884,0.2119074126000111,72,29,43,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
446,0.2396258139458884,0.2119074126000111,73,30,43,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
9,0.3043638885535193,0.20353565401048937,59,31,28,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
317,0.5529756005851721,0.18109167490785427,19,32,-13,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
140,0.4793872202842262,0.18034254913398134,33,33,0,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
79,0.2670004362392573,0.17102450505069725,68,34,34,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
39,0.3969517375774446,0.15776630058728444,44,35,9,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
234,0.32405173739832493,0.14812558601580014,57,36,21,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
11,0.3608579074654279,0.14735626867311613,49,37,12,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
332,0.28630141771436335,0.14549164542173512,63,38,25,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
423,0.38251008179664947,0.13889141492342236,46,39,7,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
82,0.27500054276656416,0.13755902251008936,65,40,25,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
90,0.2037022111860379,0.1245889312938692,82,41,41,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
78,0.27526337915158416,0.11587986286877194,64,42,22,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
77,0.2745297971171565,0.11584070666099333,66,43,23,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
417,0.40603298620422734,0.10808036908277358,41,44,-3,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
15,0.3775636701019609,0.10509342122814597,48,45,3,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
25,0.2317281760289881,0.10498456427727978,74,46,28,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
370,0.16927478641379232,0.1045395734845882,86,47,39,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
390,0.17595808326447138,0.08336995345266812,84,48,36,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
165,0.4544961109299575,0.07781268584077733,37,49,-12,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
70,0.5482157573436154,0.07612415636630088,20,50,-30,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
437,0.2298778656724784,0.07384362162905031,75,51,24,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
336,0.45519644592312525,0.07030601011642423,36,52,-16,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
426,0.22337881843476406,0.06794070556202561,76,53,23,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
433,0.22337881843476406,0.06794070556202561,77,54,23,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
447,0.22337881843476406,0.06794070556202561,78,55,23,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
227,0.350957772684242,0.06738959797348715,51,56,-5,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
383,0.1773472499266211,0.06042797048502595,83,57,26,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
55,0.3399097750365886,0.05313089831965062,54,58,-4,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
30,0.29236449643673756,0.048476766975982105,60,59,1,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
409,0.3329589376788922,0.04576355286188544,55,60,-5,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
0,0.2886976022290825,0.043222747126350214,62,61,1,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
22,0.44838872961108944,0.032485480459446214,38,62,-24,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
101,0.2726600633179275,0.028717752112411205,67,63,4,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
428,0.22188817428481208,0.024690794710982678,80,64,16,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
442,0.22188817428481208,0.024690794710982678,81,65,16,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
373,0.17329049754830406,0.022943905273900556,85,66,19,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
245,0.42571394359735876,0.009117199430480893,39,67,-28,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
379,0.15026998489710633,-0.00499450857036382,89,68,21,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
72,0.5141776161642936,-0.01632546769543619,26,69,-43,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
443,0.2228266785553906,-0.021315454734427447,79,70,9,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
46,0.2648474107930974,-0.02180793166374234,69,71,-2,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
396,0.14462203068103807,-0.029517066569554773,90,72,18,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
93,0.24392216294969993,-0.03529885600850985,71,73,-2,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
57,0.3446049525620927,-0.05372018451315563,52,74,-22,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
56,0.3430299922529717,-0.0582681887799843,53,75,-22,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
400,0.15743121524272974,-0.05924531098150179,88,76,12,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
180,0.37940869202762106,-0.06304260989205868,47,77,-30,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
401,0.1627535583505101,-0.07143278851404991,87,78,9,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
398,0.13869081309794334,-0.07205249665865793,91,79,12,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
368,0.5079412401034371,-0.08412287124988227,28,80,-52,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
42,0.4068064045798542,-0.09963494662874783,40,81,-41,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
76,0.510309231156758,-0.11831494671976583,27,82,-55,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
338,0.40123363073762336,-0.18712920029472896,42,83,-41,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
33,0.3845978985698504,-0.20535901204791773,45,84,-39,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
244,0.32483759123780886,-0.2079866942075268,56,85,-29,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
355,0.5074498418101623,-0.22817342660027085,29,86,-57,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
19,0.5219450295920429,-0.25410980034117203,24,87,-63,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
153,0.35096964034109757,-0.41830174260056585,50,88,-38,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
248,0.29079236572879924,-0.4682053588945017,61,89,-28,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
340,0.24421143072946738,-0.7606424517768944,70,90,-20,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
204,0.3138337115239901,-0.8050158417842915,58,91,-33,0.4*StrengthScore + 0.4*DuctilityScore,PropertyOnlyScore - 0.2*NormalizedUncertaintyPenalty
