Feature_Count,Feature,Mandatory,Outer_Evaluations,Selection_Count,Selection_Frequency,Zero_Count,Mean_Rank,Rank_SD,Mean_Normalized_Hybrid_Feature_Score,Hybrid_Score_SD
3,Be,False,25,0,0.0,25,,,,
3,Cr,False,25,0,0.0,25,,,,
3,Cu,False,25,0,0.0,25,,,,
3,Fe,False,25,0,0.0,25,,,,
3,Li,False,25,0,0.0,25,,,,
3,Mg,False,25,0,0.0,25,,,,
3,Mn,False,25,0,0.0,25,,,,
3,Ni,False,25,0,0.0,25,,,,
3,Sc,False,25,0,0.0,25,,,,
3,Si,False,25,0,0.0,25,,,,
3,Tage,True,25,25,1.0,0,2.0,0.0,0.44843842060005706,0.049101004801019164
3,Ti,False,25,0,0.0,25,,,,
3,Tsol,True,25,25,1.0,0,1.0,0.0,0.6379243907991382,0.10984923618304115
3,V,False,25,0,0.0,25,,,,
3,Zn,False,25,0,0.0,25,,,,
3,Zr,False,25,0,0.0,25,,,,
3,tage,True,25,25,1.0,0,3.0,0.0,0.16009236079923508,0.12367807806872572
4,Be,False,25,0,0.0,25,,,,
4,Cr,False,25,0,0.0,25,,,,
4,Cu,False,25,0,0.0,25,,,,
4,Fe,False,25,0,0.0,25,,,,
4,Li,False,25,0,0.0,25,,,,
4,Mg,False,25,0,0.0,25,,,,
4,Mn,False,25,0,0.0,25,,,,
4,Ni,False,25,0,0.0,25,,,,
4,Sc,False,25,0,0.0,25,,,,
4,Si,False,25,0,0.0,25,,,,
4,Tage,True,25,25,1.0,0,2.0,0.0,0.43379143993720826,0.05600949080056249
4,Ti,False,25,0,0.0,25,,,,
4,Tsol,True,25,25,1.0,0,1.0,0.0,0.6354216504817781,0.1082252325971384
4,V,False,25,0,0.0,25,,,,
4,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
4,Zr,False,25,0,0.0,25,,,,
4,tage,True,25,25,1.0,0,3.0,0.0,0.16060244356690817,0.11714779332774328
5,Be,False,25,0,0.0,25,,,,
5,Cr,False,25,0,0.0,25,,,,
5,Cu,False,25,0,0.0,25,,,,
5,Fe,False,25,0,0.0,25,,,,
5,Li,False,25,0,0.0,25,,,,
5,Mg,False,25,25,1.0,0,5.0,0.0,0.6409373924849301,0.12471341781968855
5,Mn,False,25,0,0.0,25,,,,
5,Ni,False,25,0,0.0,25,,,,
5,Sc,False,25,0,0.0,25,,,,
5,Si,False,25,0,0.0,25,,,,
5,Tage,True,25,25,1.0,0,2.0,0.0,0.45476050107671434,0.05197085497805856
5,Ti,False,25,0,0.0,25,,,,
5,Tsol,True,25,25,1.0,0,1.0,0.0,0.6424980793005635,0.08190201832644305
5,V,False,25,0,0.0,25,,,,
5,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
5,Zr,False,25,0,0.0,25,,,,
5,tage,True,25,25,1.0,0,3.0,0.0,0.16577126844588233,0.0991876233744701
6,Be,False,25,0,0.0,25,,,,
6,Cr,False,25,0,0.0,25,,,,
6,Cu,False,25,20,0.8,5,6.0,0.0,0.32864904782088467,0.029484192432655792
6,Fe,False,25,1,0.04,24,6.0,,0.3325652927520861,
6,Li,False,25,0,0.0,25,,,,
6,Mg,False,25,25,1.0,0,5.0,0.0,0.5359472755332009,0.09997703575793217
6,Mn,False,25,0,0.0,25,,,,
6,Ni,False,25,0,0.0,25,,,,
6,Sc,False,25,0,0.0,25,,,,
6,Si,False,25,0,0.0,25,,,,
6,Tage,True,25,25,1.0,0,2.0,0.0,0.46766190202947955,0.062187277709515425
6,Ti,False,25,4,0.16,21,6.0,0.0,0.3844575171153437,0.0659314013977334
6,Tsol,True,25,25,1.0,0,1.0,0.0,0.5672796329399681,0.07777480267362738
6,V,False,25,0,0.0,25,,,,
6,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
6,Zr,False,25,0,0.0,25,,,,
6,tage,True,25,25,1.0,0,3.0,0.0,0.2461113710115719,0.08350106316503396
7,Be,False,25,0,0.0,25,,,,
7,Cr,False,25,0,0.0,25,,,,
7,Cu,False,25,22,0.88,3,6.090909090909091,0.2942449431682499,0.3290674635181641,0.027378184330441487
7,Fe,False,25,4,0.16,21,7.0,0.0,0.30224678029917806,0.08101091592922868
7,Li,False,25,0,0.0,25,,,,
7,Mg,False,25,25,1.0,0,5.0,0.0,0.561739388916019,0.10805569623999646
7,Mn,False,25,0,0.0,25,,,,
7,Ni,False,25,0,0.0,25,,,,
7,Sc,False,25,0,0.0,25,,,,
7,Si,False,25,2,0.08,23,7.0,0.0,0.3643439708065461,0.03659752202545318
7,Tage,True,25,25,1.0,0,2.0,0.0,0.4562014425123276,0.05667566540292289
7,Ti,False,25,20,0.8,5,6.75,0.44426165831931935,0.31397677695346404,0.06409349148550153
7,Tsol,True,25,25,1.0,0,1.0,0.0,0.5842936048403491,0.07910918225932399
7,V,False,25,0,0.0,25,,,,
7,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
7,Zr,False,25,2,0.08,23,7.0,0.0,0.23333908173527224,0.004076587424416303
7,tage,True,25,25,1.0,0,3.0,0.0,0.22448152532048554,0.08794284343664521
8,Be,False,25,0,0.0,25,,,,
8,Cr,False,25,0,0.0,25,,,,
8,Cu,False,25,22,0.88,3,6.2272727272727275,0.5284134548067255,0.33123137308827605,0.03704312767825972
8,Fe,False,25,16,0.64,9,7.5625,0.629152869605896,0.2741857620954344,0.06816566078862571
8,Li,False,25,0,0.0,25,,,,
8,Mg,False,25,25,1.0,0,5.0,0.0,0.5552458601120281,0.1200592805273328
8,Mn,False,25,0,0.0,25,,,,
8,Ni,False,25,0,0.0,25,,,,
8,Sc,False,25,2,0.08,23,7.0,1.4142135623730951,0.445508274988329,0.052433074739212805
8,Si,False,25,3,0.12,22,7.666666666666667,0.5773502691896257,0.3543789882546093,0.07869203842418047
8,Tage,True,25,25,1.0,0,2.0,0.0,0.476849221198909,0.05876615019665358
8,Ti,False,25,24,0.96,1,6.958333333333333,0.624093545570845,0.30060611768953893,0.06437210885884316
8,Tsol,True,25,25,1.0,0,1.0,0.0,0.5862561956509215,0.08806196726688888
8,V,False,25,0,0.0,25,,,,
8,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
8,Zr,False,25,8,0.32,17,7.875,0.3535533905932738,0.2393939907993629,0.024428410917096542
8,tage,True,25,25,1.0,0,3.0,0.0,0.23563924036205455,0.10507940043914359
9,Be,False,25,0,0.0,25,,,,
9,Cr,False,25,0,0.0,25,,,,
9,Cu,False,25,24,0.96,1,6.375,0.710939366337732,0.32870715642919823,0.032273330486709315
9,Fe,False,25,24,0.96,1,8.083333333333334,0.928611242975073,0.26046658632324043,0.046392146451578735
9,Li,False,25,0,0.0,25,,,,
9,Mg,False,25,25,1.0,0,5.0,0.0,0.5605534796750452,0.08865258659527576
9,Mn,False,25,0,0.0,25,,,,
9,Ni,False,25,0,0.0,25,,,,
9,Sc,False,25,2,0.08,23,9.0,0.0,0.33473721060829864,0.010275173018883163
9,Si,False,25,8,0.32,17,8.5,0.7559289460184544,0.27471396857282926,0.06046291454925634
9,Tage,True,25,25,1.0,0,2.0,0.0,0.4730377638308646,0.0429005507491481
9,Ti,False,25,25,1.0,0,6.92,0.5715476066494083,0.3010264021722174,0.04132273101536807
9,Tsol,True,25,25,1.0,0,1.0,0.0,0.5874488834707849,0.06269176193941901
9,V,False,25,0,0.0,25,,,,
9,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
9,Zr,False,25,17,0.68,8,8.470588235294118,0.6242642728467981,0.23787703969602697,0.04084054037521362
9,tage,True,25,25,1.0,0,3.0,0.0,0.22967889745037265,0.07468886773940421
10,Be,False,25,0,0.0,25,,,,
10,Cr,False,25,2,0.08,23,10.0,0.0,0.18320840069986,0.0643647658099387
10,Cu,False,25,24,0.96,1,6.791666666666667,1.284664282542556,0.32907222037204353,0.03315755964219471
10,Fe,False,25,25,1.0,0,8.08,0.9092121131323905,0.28057540324782715,0.05434990753530037
10,Li,False,25,0,0.0,25,,,,
10,Mg,False,25,25,1.0,0,5.0,0.0,0.5956905549800795,0.10087546432027904
10,Mn,False,25,1,0.04,24,10.0,,0.1462878284702105,
10,Ni,False,25,0,0.0,25,,,,
10,Sc,False,25,10,0.4,15,9.5,0.7071067811865476,0.2873214386832394,0.06918706759576906
10,Si,False,25,18,0.72,7,9.222222222222221,1.165966176260275,0.2522434618424596,0.07337878413371562
10,Tage,True,25,25,1.0,0,2.0,0.0,0.4680634597681014,0.049899177449992865
10,Ti,False,25,25,1.0,0,6.8,0.5773502691896255,0.31894617394929214,0.05242031140627406
10,Tsol,True,25,25,1.0,0,1.0,0.0,0.6136732496791756,0.07045227934966418
10,V,False,25,0,0.0,25,,,,
10,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
10,Zr,False,25,20,0.8,5,8.7,0.8645047258706177,0.2479485062689833,0.04421094753668822
10,tage,True,25,25,1.0,0,3.0,0.0,0.20588885582544006,0.09103472642271858
11,Be,False,25,0,0.0,25,,,,
11,Cr,False,25,7,0.28,18,10.571428571428571,0.7867957924694432,0.21174044372769502,0.07445100941076072
11,Cu,False,25,24,0.96,1,7.041666666666667,1.5457984194658723,0.3269825104340051,0.029249739200004277
11,Fe,False,25,25,1.0,0,8.04,0.7895146188218006,0.2868656885524134,0.05461354419764813
11,Li,False,25,3,0.12,22,11.0,0.0,0.18180164595154732,0.06959033538820919
11,Mg,False,25,25,1.0,0,5.0,0.0,0.6070938563420826,0.11012246780443224
11,Mn,False,25,3,0.12,22,10.333333333333334,0.5773502691896258,0.15583141682773827,0.022264209824860423
11,Ni,False,25,0,0.0,25,,,,
11,Sc,False,25,17,0.68,8,9.941176470588236,1.3906198364081266,0.26161535128084623,0.08046348335296896
11,Si,False,25,22,0.88,3,9.363636363636363,1.2926699776028183,0.26250202290905933,0.0716472207425642
11,Tage,True,25,25,1.0,0,2.0,0.0,0.45689331197814215,0.05087286692189929
11,Ti,False,25,25,1.0,0,6.8,0.7637626158259734,0.3236800217705935,0.06608586051845758
11,Tsol,True,25,25,1.0,0,1.0,0.0,0.6161990797449219,0.0776359823563296
11,V,False,25,0,0.0,25,,,,
11,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
11,Zr,False,25,24,0.96,1,9.25,1.1515584902738285,0.25462545991610563,0.0480916700176047
11,tage,True,25,25,1.0,0,3.0,0.0,0.19520990336465693,0.09754714449980484
12,Be,False,25,0,0.0,25,,,,
12,Cr,False,25,17,0.68,8,11.705882352941176,0.5878675320972554,0.23285024990351527,0.06932915307154808
12,Cu,False,25,25,1.0,0,8.44,2.4846193538112296,0.3124261821488894,0.034768841115589484
12,Fe,False,25,25,1.0,0,7.96,0.8406346808612327,0.3082748235242073,0.07964601607536725
12,Li,False,25,8,0.32,17,11.75,0.7071067811865477,0.1956336647845474,0.041776776574986664
12,Mg,False,25,25,1.0,0,5.0,0.0,0.6552573840708357,0.12257077438745272
12,Mn,False,25,2,0.08,23,11.5,0.7071067811865476,0.13744489945669508,0.03009240621528807
12,Ni,False,25,0,0.0,25,,,,
12,Sc,False,25,23,0.92,2,9.478260869565217,1.5335509956067592,0.2892462466558134,0.09986091200825024
12,Si,False,25,25,1.0,0,9.36,1.0360180178613372,0.27971017107481977,0.08242044290582368
12,Tage,True,25,25,1.0,0,2.0,0.0,0.43993167077787604,0.05311039720687134
12,Ti,False,25,25,1.0,0,6.52,0.714142842854285,0.3458356981851541,0.08248356683657943
12,Tsol,True,25,25,1.0,0,1.0,0.0,0.648650940100894,0.09155999413595461
12,V,False,25,0,0.0,25,,,,
12,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
12,Zr,False,25,25,1.0,0,9.36,1.2543258481484518,0.27789676783752265,0.0644323444154993
12,tage,True,25,25,1.0,0,3.0,0.0,0.1526089301470054,0.10264252107045475
13,Be,False,25,2,0.08,23,13.0,0.0,0.26304677043396163,0.009805727687160896
13,Cr,False,25,23,0.92,2,11.956521739130435,0.9282564726687249,0.21141309499642316,0.06677985663258436
13,Cu,False,25,25,1.0,0,8.32,2.2308443842336176,0.3123860357929129,0.03147291930478101
13,Fe,False,25,25,1.0,0,7.88,0.8812869377601523,0.29722641635891667,0.07474988767218288
13,Li,False,25,22,0.88,3,12.272727272727273,1.031956910406178,0.1751253787968898,0.03843550712471174
13,Mg,False,25,25,1.0,0,5.0,0.0,0.6303268817788775,0.137055545249949
13,Mn,False,25,8,0.32,17,11.125,1.125991626459603,0.14329635373306204,0.019091100333285028
13,Ni,False,25,0,0.0,25,,,,
13,Sc,False,25,20,0.8,5,9.55,2.1392325234704344,0.28564645275651734,0.10303407939337095
13,Si,False,25,25,1.0,0,9.6,1.6832508230603465,0.2585378566713178,0.09540900967332501
13,Tage,True,25,25,1.0,0,2.0,0.0,0.444635120159366,0.06205268517888043
13,Ti,False,25,25,1.0,0,6.76,0.879393730551528,0.33327305214248726,0.08331561757519305
13,Tsol,True,25,25,1.0,0,1.0,0.0,0.6300642027488859,0.09966341627942764
13,V,False,25,0,0.0,25,,,,
13,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
13,Zr,False,25,25,1.0,0,9.4,1.3844373104863457,0.26295479174682795,0.05614060694316005
13,tage,True,25,25,1.0,0,3.0,0.0,0.17334823900461818,0.11132957059191279
14,Be,False,25,7,0.28,18,13.857142857142858,0.3779644730092272,0.17604512481676227,0.04783447973229299
14,Cr,False,25,25,1.0,0,12.12,0.9273618495495703,0.19705098876677224,0.06731600189680356
14,Cu,False,25,25,1.0,0,8.24,2.4372115213907883,0.3108621667410219,0.03587154733194225
14,Fe,False,25,25,1.0,0,8.04,0.8888194417315588,0.2963960315284026,0.08961734084939123
14,Li,False,25,25,1.0,0,12.48,1.0049875621120892,0.18062248798959238,0.04948646611167713
14,Mg,False,25,25,1.0,0,5.0,0.0,0.6208903740458109,0.15457075357140537
14,Mn,False,25,16,0.64,9,12.8125,1.3768926368215255,0.13331315873421629,0.01872369662865505
14,Ni,False,25,2,0.08,23,14.0,0.0,0.13849073065175965,0.033455198050437396
14,Sc,False,25,25,1.0,0,10.68,2.3930454794396754,0.24545815808822585,0.11966277609593508
14,Si,False,25,25,1.0,0,9.32,1.725301905947671,0.25991894970748336,0.10644030286515671
14,Tage,True,25,25,1.0,0,2.0,0.0,0.43530433319229284,0.06072615495455958
14,Ti,False,25,25,1.0,0,6.92,0.9539392014169457,0.3288495262676451,0.09379964365359504
14,Tsol,True,25,25,1.0,0,1.0,0.0,0.6247636765415036,0.11011657483668325
14,V,False,25,0,0.0,25,,,,
14,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
14,Zr,False,25,25,1.0,0,9.0,1.3844373104863454,0.26535091507906267,0.05358050670789938
14,tage,True,25,25,1.0,0,3.0,0.0,0.17328628424775105,0.11639858678653732
15,Be,False,25,21,0.84,4,14.523809523809524,0.6015852075182389,0.11064691685611452,0.05376619430549046
15,Cr,False,25,25,1.0,0,12.12,0.8326663997864531,0.19761247011867134,0.06618401108457787
15,Cu,False,25,25,1.0,0,7.92,2.3790754506740637,0.31596606373596114,0.03207138825347039
15,Fe,False,25,25,1.0,0,8.04,0.8888194417315588,0.2952643387701903,0.07974554677058611
15,Li,False,25,25,1.0,0,12.56,0.8205689083394112,0.18108665308381358,0.04451243963048843
15,Mg,False,25,25,1.0,0,5.0,0.0,0.6243872995951305,0.14224054061746141
15,Mn,False,25,18,0.72,7,13.333333333333334,1.4552137502179976,0.12488137036232172,0.021092785251200973
15,Ni,False,25,10,0.4,15,15.0,0.0,0.08782123498539558,0.053821898674402215
15,Sc,False,25,25,1.0,0,10.4,2.3804761428476167,0.24911701499994574,0.11809867961774674
15,Si,False,25,25,1.0,0,9.52,1.32664991614216,0.2593111267255179,0.09256596874278324
15,Tage,True,25,25,1.0,0,2.0,0.0,0.44556222463106976,0.056361550540081254
15,Ti,False,25,25,1.0,0,6.84,0.8504900548115384,0.32877757963783205,0.08723307974135325
15,Tsol,True,25,25,1.0,0,1.0,0.0,0.6293319938815837,0.10073268287440403
15,V,False,25,1,0.04,24,15.0,,0.1412039595387366,
15,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
