Outer_ID,Repeat,Outer_Fold,Feature_Count,Feature,Selected,Mandatory,Feature_Order,Rank,Selected_Alpha,Mean_Normalized_Hybrid_Feature_Score
R01_F01,1,1,3,Si,0,False,0,,0.0,
R01_F01,1,1,3,Fe,0,False,0,,0.0,
R01_F01,1,1,3,Cu,0,False,0,,0.0,
R01_F01,1,1,3,Mn,0,False,0,,0.0,
R01_F01,1,1,3,Mg,0,False,0,,0.0,
R01_F01,1,1,3,Cr,0,False,0,,0.0,
R01_F01,1,1,3,Zn,0,False,0,,0.0,
R01_F01,1,1,3,V,0,False,0,,0.0,
R01_F01,1,1,3,Ti,0,False,0,,0.0,
R01_F01,1,1,3,Zr,0,False,0,,0.0,
R01_F01,1,1,3,Li,0,False,0,,0.0,
R01_F01,1,1,3,Ni,0,False,0,,0.0,
R01_F01,1,1,3,Be,0,False,0,,0.0,
R01_F01,1,1,3,Sc,0,False,0,,0.0,
R01_F01,1,1,3,Tsol,1,True,1,1.0,0.0,0.5134958636481454
R01_F01,1,1,3,Tage,1,True,2,2.0,0.0,0.48419265741596
R01_F01,1,1,3,tage,1,True,3,3.0,0.0,0.278386613165626
R01_F01,1,1,4,Si,0,False,0,,0.0,
R01_F01,1,1,4,Fe,0,False,0,,0.0,
R01_F01,1,1,4,Cu,0,False,0,,0.0,
R01_F01,1,1,4,Mn,0,False,0,,0.0,
R01_F01,1,1,4,Mg,0,False,0,,0.0,
R01_F01,1,1,4,Cr,0,False,0,,0.0,
R01_F01,1,1,4,Zn,1,False,4,4.0,0.0,1.0
R01_F01,1,1,4,V,0,False,0,,0.0,
R01_F01,1,1,4,Ti,0,False,0,,0.0,
R01_F01,1,1,4,Zr,0,False,0,,0.0,
R01_F01,1,1,4,Li,0,False,0,,0.0,
R01_F01,1,1,4,Ni,0,False,0,,0.0,
R01_F01,1,1,4,Be,0,False,0,,0.0,
R01_F01,1,1,4,Sc,0,False,0,,0.0,
R01_F01,1,1,4,Tsol,1,True,1,1.0,0.0,0.5134958636481454
R01_F01,1,1,4,Tage,1,True,2,2.0,0.0,0.48419265741596
R01_F01,1,1,4,tage,1,True,3,3.0,0.0,0.278386613165626
R01_F01,1,1,5,Si,0,False,0,,0.5,
R01_F01,1,1,5,Fe,0,False,0,,0.5,
R01_F01,1,1,5,Cu,0,False,0,,0.5,
R01_F01,1,1,5,Mn,0,False,0,,0.5,
R01_F01,1,1,5,Mg,1,False,5,5.0,0.5,0.6608986044525014
R01_F01,1,1,5,Cr,0,False,0,,0.5,
R01_F01,1,1,5,Zn,1,False,4,4.0,0.5,1.0
R01_F01,1,1,5,V,0,False,0,,0.5,
R01_F01,1,1,5,Ti,0,False,0,,0.5,
R01_F01,1,1,5,Zr,0,False,0,,0.5,
R01_F01,1,1,5,Li,0,False,0,,0.5,
R01_F01,1,1,5,Ni,0,False,0,,0.5,
R01_F01,1,1,5,Be,0,False,0,,0.5,
R01_F01,1,1,5,Sc,0,False,0,,0.5,
R01_F01,1,1,5,Tsol,1,True,1,1.0,0.5,0.6476154138558118
R01_F01,1,1,5,Tage,1,True,2,2.0,0.5,0.4285307731653957
R01_F01,1,1,5,tage,1,True,3,3.0,0.5,0.139193306582813
R01_F01,1,1,6,Si,0,False,0,,0.25,
R01_F01,1,1,6,Fe,0,False,0,,0.25,
R01_F01,1,1,6,Cu,1,False,6,6.0,0.25,0.3035169373714433
R01_F01,1,1,6,Mn,0,False,0,,0.25,
R01_F01,1,1,6,Mg,1,False,5,5.0,0.25,0.5693696368078163
R01_F01,1,1,6,Cr,0,False,0,,0.25,
R01_F01,1,1,6,Zn,1,False,4,4.0,0.25,1.0
R01_F01,1,1,6,V,0,False,0,,0.25,
R01_F01,1,1,6,Ti,0,False,0,,0.25,
R01_F01,1,1,6,Zr,0,False,0,,0.25,
R01_F01,1,1,6,Li,0,False,0,,0.25,
R01_F01,1,1,6,Ni,0,False,0,,0.25,
R01_F01,1,1,6,Be,0,False,0,,0.25,
R01_F01,1,1,6,Sc,0,False,0,,0.25,
R01_F01,1,1,6,Tsol,1,True,1,1.0,0.25,0.5805556387519786
R01_F01,1,1,6,Tage,1,True,2,2.0,0.25,0.4563617152906778
R01_F01,1,1,6,tage,1,True,3,3.0,0.25,0.2087899598742195
R01_F01,1,1,7,Si,0,False,0,,0.25,
R01_F01,1,1,7,Fe,0,False,0,,0.25,
R01_F01,1,1,7,Cu,1,False,6,6.0,0.25,0.3035169373714433
R01_F01,1,1,7,Mn,0,False,0,,0.25,
R01_F01,1,1,7,Mg,1,False,5,5.0,0.25,0.5693696368078163
R01_F01,1,1,7,Cr,0,False,0,,0.25,
R01_F01,1,1,7,Zn,1,False,4,4.0,0.25,1.0
R01_F01,1,1,7,V,0,False,0,,0.25,
R01_F01,1,1,7,Ti,1,False,7,7.0,0.25,0.2654131313951025
R01_F01,1,1,7,Zr,0,False,0,,0.25,
R01_F01,1,1,7,Li,0,False,0,,0.25,
R01_F01,1,1,7,Ni,0,False,0,,0.25,
R01_F01,1,1,7,Be,0,False,0,,0.25,
R01_F01,1,1,7,Sc,0,False,0,,0.25,
R01_F01,1,1,7,Tsol,1,True,1,1.0,0.25,0.5805556387519786
R01_F01,1,1,7,Tage,1,True,2,2.0,0.25,0.4563617152906778
R01_F01,1,1,7,tage,1,True,3,3.0,0.25,0.2087899598742195
R01_F01,1,1,8,Si,0,False,0,,0.0,
R01_F01,1,1,8,Fe,1,False,7,7.0,0.0,0.2228856662947742
R01_F01,1,1,8,Cu,1,False,6,6.0,0.0,0.3076720579078603
R01_F01,1,1,8,Mn,0,False,0,,0.0,
R01_F01,1,1,8,Mg,1,False,5,5.0,0.0,0.4778406691631313
R01_F01,1,1,8,Cr,0,False,0,,0.0,
R01_F01,1,1,8,Zn,1,False,4,4.0,0.0,1.0
