index,Subset_Size,Selection_Definition,count,mean,std,median,min,max
0,3,Excluding_Mandatory,0,,,,,
1,3,Including_Mandatory,300,1.0,0.0,1.0,1.0,1.0
2,4,Excluding_Mandatory,300,1.0,0.0,1.0,1.0,1.0
3,4,Including_Mandatory,300,1.0,0.0,1.0,1.0,1.0
4,5,Excluding_Mandatory,300,1.0,0.0,1.0,1.0,1.0
5,5,Including_Mandatory,300,1.0,0.0,1.0,1.0,1.0
6,6,Excluding_Mandatory,300,0.8266666666666667,0.23835182861244944,1.0,0.5,1.0
7,6,Including_Mandatory,300,0.900952380952381,0.13620104492139984,1.0,0.7142857142857143,1.0
8,7,Excluding_Mandatory,300,0.7773333333333333,0.21622483034454001,0.6,0.3333333333333333,1.0
9,7,Including_Mandatory,300,0.8597222222222223,0.13751879031096656,0.75,0.5555555555555556,1.0
10,8,Excluding_Mandatory,300,0.7451190476190476,0.1959572448360736,0.6666666666666666,0.25,1.0
11,8,Including_Mandatory,300,0.8275151515151515,0.13503639759685315,0.7777777777777778,0.45454545454545453,1.0
12,9,Excluding_Mandatory,300,0.8338095238095238,0.17920273817182517,1.0,0.5,1.0
13,9,Including_Mandatory,300,0.8821212121212121,0.12837087234428476,1.0,0.6363636363636364,1.0
14,10,Excluding_Mandatory,300,0.8075,0.12770393953369885,0.75,0.5555555555555556,1.0
15,10,Including_Mandatory,300,0.8593939393939394,0.094098310380938,0.8181818181818182,0.6666666666666666,1.0
16,11,Excluding_Mandatory,300,0.8219528619528619,0.1546942877881534,0.7777777777777778,0.45454545454545453,1.0
17,11,Including_Mandatory,300,0.8647313797313797,0.11872280345992342,0.8333333333333334,0.5714285714285714,1.0
18,12,Excluding_Mandatory,300,0.8814545454545455,0.11943869386460904,0.8,0.6363636363636364,1.0
19,12,Including_Mandatory,300,0.9083516483516483,0.09283098288603825,0.8461538461538461,0.7142857142857143,1.0
20,13,Excluding_Mandatory,300,0.882020202020202,0.09960729909141183,0.8181818181818182,0.6666666666666666,1.0
21,13,Including_Mandatory,300,0.9070793650793652,0.07874988621696115,0.8571428571428571,0.7333333333333333,1.0
22,14,Excluding_Mandatory,300,0.9122222222222223,0.08335376932625387,0.8333333333333334,0.8333333333333334,1.0
23,14,Including_Mandatory,300,0.9297777777777778,0.06668301546100312,0.8666666666666667,0.8666666666666667,1.0
24,15,Excluding_Mandatory,300,0.9018315018315018,0.07738285975654396,0.8461538461538461,0.7142857142857143,1.0
25,15,Including_Mandatory,300,0.9201960784313725,0.0629767042419899,0.875,0.7647058823529411,1.0
26,16,Excluding_Mandatory,300,0.9319047619047619,0.07146996730073865,1.0,0.8571428571428571,1.0
27,16,Including_Mandatory,300,0.943921568627451,0.05885762013002003,1.0,0.8823529411764706,1.0
28,17,Excluding_Mandatory,300,1.0,0.0,1.0,1.0,1.0
29,17,Including_Mandatory,300,1.0,0.0,1.0,1.0,1.0
