Subset_Size,Selection_Definition,M,p,Status,kbar,mean_s_f_squared,denominator,Finite_Sample_Correction,Nogueira_Stability
3,k3_Including_Mandatory,25,17,OK,3.0,0.0,0.1453287197231834,M/(M-1),1.0
3,k3_Excluding_Mandatory,25,14,Degenerate denominator; deterministic all/none convention,0.0,0.0,0.0,M/(M-1),1.0
4,k4_Including_Mandatory,25,17,OK,4.0,0.0,0.17993079584775085,M/(M-1),1.0
4,k4_Excluding_Mandatory,25,14,OK,1.0,0.0,0.0663265306122449,M/(M-1),1.0
5,k5_Including_Mandatory,25,17,OK,5.0,0.0,0.20761245674740483,M/(M-1),1.0
5,k5_Excluding_Mandatory,25,14,OK,2.0,0.0,0.12244897959183673,M/(M-1),1.0
6,k6_Including_Mandatory,25,17,OK,6.0,0.0203921568627451,0.2283737024221453,M/(M-1),0.9107070707070707
6,k6_Excluding_Mandatory,25,14,OK,3.0,0.024761904761904763,0.1683673469387755,M/(M-1),0.8529292929292929
7,k7_Including_Mandatory,25,17,OK,7.0,0.033529411764705884,0.2422145328719723,M/(M-1),0.8615714285714285
7,k7_Excluding_Mandatory,25,14,OK,4.0,0.04071428571428571,0.20408163265306123,M/(M-1),0.8005
8,k8_Including_Mandatory,25,17,OK,8.0,0.047254901960784315,0.2491349480968858,M/(M-1),0.810324074074074
8,k8_Excluding_Mandatory,25,14,OK,5.0,0.05738095238095238,0.22959183673469385,M/(M-1),0.7500740740740741
9,k9_Including_Mandatory,25,17,OK,9.0,0.035882352941176476,0.2491349480968858,M/(M-1),0.8559722222222221
9,k9_Excluding_Mandatory,25,14,OK,6.0,0.04357142857142858,0.24489795918367344,M/(M-1),0.8220833333333333
10,k10_Including_Mandatory,25,17,OK,10.0,0.04607843137254902,0.2422145328719723,M/(M-1),0.8097619047619047
10,k10_Excluding_Mandatory,25,14,OK,7.0,0.05595238095238096,0.25,M/(M-1),0.7761904761904761
11,k11_Including_Mandatory,25,17,OK,11.0,0.04980392156862746,0.22837370242214533,M/(M-1),0.7819191919191919
11,k11_Excluding_Mandatory,25,14,OK,8.0,0.06047619047619048,0.24489795918367346,M/(M-1),0.7530555555555556
12,k12_Including_Mandatory,25,17,OK,12.0,0.035686274509803925,0.20761245674740483,M/(M-1),0.828111111111111
12,k12_Excluding_Mandatory,25,14,OK,9.0,0.043333333333333335,0.22959183673469385,M/(M-1),0.8112592592592592
13,k13_Including_Mandatory,25,17,OK,13.0,0.03862745098039216,0.1799307958477509,M/(M-1),0.7853205128205129
13,k13_Excluding_Mandatory,25,14,OK,10.0,0.0469047619047619,0.20408163265306123,M/(M-1),0.7701666666666667
14,k14_Including_Mandatory,25,17,OK,14.0,0.030980392156862747,0.14532871972318342,M/(M-1),0.7868253968253969
14,k14_Excluding_Mandatory,25,14,OK,11.0,0.03761904761904762,0.16836734693877553,M/(M-1),0.7765656565656566
15,k15_Including_Mandatory,25,17,OK,15.0,0.03764705882352942,0.10380622837370244,M/(M-1),0.6373333333333333
15,k15_Excluding_Mandatory,25,14,OK,12.0,0.045714285714285714,0.12244897959183677,M/(M-1),0.6266666666666667
16,k16_Including_Mandatory,25,17,OK,16.0,0.028039215686274516,0.05536332179930797,M/(M-1),0.49354166666666666
16,k16_Excluding_Mandatory,25,14,OK,13.0,0.034047619047619056,0.06632653061224487,M/(M-1),0.48666666666666636
17,k17_Including_Mandatory,25,17,Degenerate denominator; deterministic all/none convention,17.0,0.0,0.0,M/(M-1),1.0
17,k17_Excluding_Mandatory,25,14,Degenerate denominator; deterministic all/none convention,14.0,0.0,0.0,M/(M-1),1.0
