Feature_Count,Selected_Alpha,Selected_Count,Selection_Frequency
3,0.0,7,0.28
3,0.25,4,0.16
3,0.5,4,0.16
3,0.75,4,0.16
3,1.0,6,0.24
4,0.0,7,0.28
4,0.25,3,0.12
4,0.5,6,0.24
4,0.75,4,0.16
4,1.0,5,0.2
5,0.0,3,0.12
5,0.25,8,0.32
5,0.5,5,0.2
5,0.75,7,0.28
5,1.0,2,0.08
6,0.0,11,0.44
6,0.25,11,0.44
6,0.5,1,0.04
6,0.75,1,0.04
6,1.0,1,0.04
7,0.0,7,0.28
7,0.25,13,0.52
7,0.5,2,0.08
7,0.75,2,0.08
7,1.0,1,0.04
8,0.0,10,0.4
8,0.25,10,0.4
8,0.5,2,0.08
8,0.75,1,0.04
8,1.0,2,0.08
9,0.0,7,0.28
9,0.25,12,0.48
9,0.5,4,0.16
9,0.75,2,0.08
10,0.0,3,0.12
10,0.25,14,0.56
10,0.5,4,0.16
10,0.75,3,0.12
10,1.0,1,0.04
11,0.0,4,0.16
11,0.25,11,0.44
11,0.5,5,0.2
11,0.75,3,0.12
11,1.0,2,0.08
12,0.0,3,0.12
12,0.25,6,0.24
12,0.5,6,0.24
12,0.75,7,0.28
12,1.0,3,0.12
13,0.0,7,0.28
13,0.25,4,0.16
13,0.5,4,0.16
13,0.75,8,0.32
13,1.0,2,0.08
14,0.0,7,0.28
14,0.25,6,0.24
14,0.5,3,0.12
14,0.75,5,0.2
14,1.0,4,0.16
15,0.0,5,0.2
15,0.25,8,0.32
15,0.5,4,0.16
15,0.75,5,0.2
15,1.0,3,0.12
16,0.0,4,0.16
16,0.25,5,0.2
16,0.5,7,0.28
16,0.75,6,0.24
16,1.0,3,0.12
17,0.0,3,0.12
17,0.25,6,0.24
17,0.5,6,0.24
17,0.75,8,0.32
17,1.0,2,0.08
