Outer_ID,Repeat,Outer_Fold,Feature_Count,Feature_Order,Feature,Mandatory,Mean_Normalized_Hybrid_Feature_Score,Selected_Alpha,Selected,Rank
R01_F01,1,1,3,1,Tsol,True,0.5134958636481454,0.0,1,1
R01_F01,1,1,3,2,Tage,True,0.48419265741596,0.0,1,2
R01_F01,1,1,3,3,tage,True,0.278386613165626,0.0,1,3
R01_F02,1,2,3,1,Tsol,True,0.44332176633641013,0.0,1,1
R01_F02,1,2,3,2,Tage,True,0.5020519364422101,0.0,1,2
R01_F02,1,2,3,3,tage,True,0.29109052427993615,0.0,1,3
R01_F03,1,3,3,1,Tsol,True,0.6426615187499387,0.5,1,1
R01_F03,1,3,3,2,Tage,True,0.4236605575263259,0.5,1,2
R01_F03,1,3,3,3,tage,True,0.1302791102721847,0.5,1,3
R01_F04,1,4,3,1,Tsol,True,0.7775937026864538,1.0,1,1
R01_F04,1,4,3,2,Tage,True,0.3918557978068861,1.0,1,2
R01_F04,1,4,3,3,tage,True,0.0,1.0,1,3
R01_F05,1,5,3,1,Tsol,True,0.5897877844614194,0.25,1,1
R01_F05,1,5,3,2,Tage,True,0.43883039915090805,0.25,1,2
R01_F05,1,5,3,3,tage,True,0.22645581927940528,0.25,1,3
R02_F01,2,1,3,1,Tsol,True,0.513595600564193,0.0,1,1
R02_F01,2,1,3,2,Tage,True,0.47779578899363884,0.0,1,2
R02_F01,2,1,3,3,tage,True,0.3373205741227759,0.0,1,3
R02_F02,2,2,3,1,Tsol,True,0.6454273838907196,0.5,1,1
R02_F02,2,2,3,2,Tage,True,0.45446043263449654,0.5,1,2
R02_F02,2,2,3,3,tage,True,0.17515735390104686,0.5,1,3
R02_F03,2,3,3,1,Tsol,True,0.7767394591969177,1.0,1,1
R02_F03,2,3,3,2,Tage,True,0.3987222998035663,1.0,1,2
R02_F03,2,3,3,3,tage,True,0.0,1.0,1,3
R02_F04,2,4,3,1,Tsol,True,0.5910458854065818,0.25,1,1
R02_F04,2,4,3,2,Tage,True,0.5221083671976645,0.25,1,2
R02_F04,2,4,3,3,tage,True,0.24905697597108933,0.25,1,3
R02_F05,2,5,3,1,Tsol,True,0.43742074428160455,0.0,1,1
R02_F05,2,5,3,2,Tage,True,0.45461770952947556,0.0,1,2
R02_F05,2,5,3,3,tage,True,0.2855189871074952,0.0,1,3
R03_F01,3,1,3,1,Tsol,True,0.550987528371025,0.25,1,1
R03_F01,3,1,3,2,Tage,True,0.41958340871468575,0.25,1,2
R03_F01,3,1,3,3,tage,True,0.2096772074355151,0.25,1,3
R03_F02,3,2,3,1,Tsol,True,0.6704319984867595,0.75,1,1
R03_F02,3,2,3,2,Tage,True,0.4099430558057521,0.75,1,2
R03_F02,3,2,3,3,tage,True,0.06880299735380781,0.75,1,3
R03_F03,3,3,3,1,Tsol,True,0.5193917509611272,0.0,1,1
R03_F03,3,3,3,2,Tage,True,0.5202467506243533,0.0,1,2
R03_F03,3,3,3,3,tage,True,0.3183160169051823,0.0,1,3
R03_F04,3,4,3,1,Tsol,True,0.7479782346046556,0.75,1,1
R03_F04,3,4,3,2,Tage,True,0.40695497984925927,0.75,1,2
R03_F04,3,4,3,3,tage,True,0.08770846008337724,0.75,1,3
R03_F05,3,5,3,1,Tsol,True,0.7774760644875273,1.0,1,1
R03_F05,3,5,3,2,Tage,True,0.42985609653937995,1.0,1,2
R03_F05,3,5,3,3,tage,True,0.0,1.0,1,3
R04_F01,4,1,3,1,Tsol,True,0.7464312707830397,1.0,1,1
R04_F01,4,1,3,2,Tage,True,0.39870209037252446,1.0,1,2
R04_F01,4,1,3,3,tage,True,0.0,1.0,1,3
R04_F02,4,2,3,1,Tsol,True,0.6659689477848211,0.75,1,1
R04_F02,4,2,3,2,Tage,True,0.4717175555237832,0.75,1,2
R04_F02,4,2,3,3,tage,True,0.06527484790531322,0.75,1,3
R04_F03,4,3,3,1,Tsol,True,0.6141101999803606,0.0,1,1
R04_F03,4,3,3,2,Tage,True,0.5635795081570761,0.0,1,2
R04_F03,4,3,3,3,tage,True,0.39590719509387423,0.0,1,3
R04_F04,4,4,3,1,Tsol,True,0.4940376961758459,0.0,1,1
