Feature_Count,Outer_Evaluations,Outer_R2_YS_Mean,Outer_R2_YS_Std,Outer_R2_YS_SE,Outer_R2_YS_CI95_Lower,Outer_R2_YS_CI95_Upper,Outer_R2_UTS_Mean,Outer_R2_UTS_Std,Outer_R2_UTS_SE,Outer_R2_UTS_CI95_Lower,Outer_R2_UTS_CI95_Upper,Outer_R2_El_Mean,Outer_R2_El_Std,Outer_R2_El_SE,Outer_R2_El_CI95_Lower,Outer_R2_El_CI95_Upper,Outer_R2_Macro_Mean,Outer_R2_Macro_Std,Outer_R2_Macro_SE,Outer_R2_Macro_CI95_Lower,Outer_R2_Macro_CI95_Upper,Outer_RMSE_YS_Mean,Outer_RMSE_YS_Std,Outer_RMSE_YS_SE,Outer_RMSE_YS_CI95_Lower,Outer_RMSE_YS_CI95_Upper,Outer_RMSE_UTS_Mean,Outer_RMSE_UTS_Std,Outer_RMSE_UTS_SE,Outer_RMSE_UTS_CI95_Lower,Outer_RMSE_UTS_CI95_Upper,Outer_RMSE_El_Mean,Outer_RMSE_El_Std,Outer_RMSE_El_SE,Outer_RMSE_El_CI95_Lower,Outer_RMSE_El_CI95_Upper,Outer_RMSE_Macro_Mean,Outer_RMSE_Macro_Std,Outer_RMSE_Macro_SE,Outer_RMSE_Macro_CI95_Lower,Outer_RMSE_Macro_CI95_Upper,Outer_MAE_YS_Mean,Outer_MAE_YS_Std,Outer_MAE_YS_SE,Outer_MAE_YS_CI95_Lower,Outer_MAE_YS_CI95_Upper,Outer_MAE_UTS_Mean,Outer_MAE_UTS_Std,Outer_MAE_UTS_SE,Outer_MAE_UTS_CI95_Lower,Outer_MAE_UTS_CI95_Upper,Outer_MAE_El_Mean,Outer_MAE_El_Std,Outer_MAE_El_SE,Outer_MAE_El_CI95_Lower,Outer_MAE_El_CI95_Upper,Outer_MAE_Macro_Mean,Outer_MAE_Macro_Std,Outer_MAE_Macro_SE,Outer_MAE_Macro_CI95_Lower,Outer_MAE_Macro_CI95_Upper,Outer_NRMSE_Macro_Mean,Outer_NRMSE_Macro_Std,Outer_NRMSE_Macro_SE,Outer_NRMSE_Macro_CI95_Lower,Outer_NRMSE_Macro_CI95_Upper,Model_Family_Selection_Frequencies,Alpha_Selection_Frequencies
3,25,0.7633460407099826,0.062336461509191324,0.012467292301838264,0.7389101477983796,0.7877819336215856,0.6883520706995728,0.07134026768085067,0.014268053536170134,0.6603866857686793,0.7163174556304663,0.5383196080051691,0.06731951884853989,0.013463903769707977,0.5119303566165414,0.5647088593937968,0.663339239804908,0.05181772492595903,0.010363544985191805,0.6430266916339321,0.683651787975884,56.95555568023445,6.273766290246876,1.2547532580493752,54.49623929445767,59.41487206601122,56.63619722543214,5.972661284000354,1.194532256800071,54.294914002104,58.97748044876028,4.852141568761148,0.7448272557678979,0.14896545115357956,4.560169284500132,5.144113853022164,39.48129815814258,3.8985549942732893,0.7797109988546579,37.95306460038745,41.00953171589771,41.852552188959216,4.648583020135078,0.9297166040270156,40.030307645066266,43.674796732852165,42.27733823218866,4.793822208350018,0.9587644416700035,40.398159926515454,44.15651653786187,3.4250854666789716,0.32916373710622476,0.06583274742124495,3.2960532817333315,3.554117651624612,29.184991962608947,3.0248004506147774,0.6049600901229555,27.999270185967955,30.37071373924994,0.5662811549540989,0.04687022204506217,0.009374044409012435,0.5479080279124345,0.5846542819957633,"{""Independent_ET_Physics"": 20, ""Native_ET_Physics"": 3, ""Native_RF_Physics"": 1, ""RegressorChain_ET_Physics"": 1}","{""0.0"": 7, ""0.25"": 4, ""0.5"": 4, ""0.75"": 4, ""1.0"": 6}"
4,25,0.8287359279059587,0.051831508872991365,0.010366301774598272,0.8084179764277462,0.8490538793841713,0.7919972185673181,0.06624100623230363,0.013248201246460724,0.7660307441242551,0.8179636930103811,0.6401446585571127,0.0833801690421194,0.01667603380842388,0.6074596322926019,0.6728296848216234,0.7536259350101298,0.04663360188334175,0.00932672037666835,0.7353455630718598,0.7719063069483997,48.37788649066296,6.993900978536017,1.3987801957072032,45.63627730707684,51.11949567424908,46.06824133326307,7.140797314638901,1.42815946292778,43.26904878592462,48.86743388060152,4.275049693270482,0.8138294673750388,0.16276589347500775,3.956028542059467,4.5940708444814975,32.90705917239884,4.408083177198216,0.8816166354396431,31.179090566937138,34.635027777860536,34.82239940109596,4.9250876164207575,0.9850175232841515,32.89176505545902,36.753033746732896,32.49444594346017,5.328045572765419,1.0656091145530837,30.405852078936128,34.583039807984214,2.8739231294755125,0.37198284620728717,0.07439656924145743,2.728105853762256,3.0197404051887693,23.396922824677212,3.243202168833209,0.6486404337666418,22.125587574494595,24.66825807485983,0.4808714060553415,0.04736533663524,0.009473067327048,0.46230419409432744,0.4994386180163556,"{""Independent_ET_Physics"": 8, ""Native_ET_Physics"": 17}","{""0.0"": 7, ""0.25"": 3, ""0.5"": 6, ""0.75"": 4, ""1.0"": 5}"
5,25,0.8469763683447347,0.04897026702519922,0.009794053405039844,0.8277800236708566,0.8661727130186128,0.82285880571008,0.058163067638945375,0.011632613527789075,0.8000588831956134,0.8456587282245466,0.6602509598827991,0.08344660121696101,0.016689320243392203,0.6275398922057505,0.6929620275598478,0.7766953779792047,0.046037657117582405,0.00920753142351648,0.7586486163891124,0.7947421395692971,45.68826622555656,6.657886697256858,1.3315773394513717,43.07837464023187,48.29815781088125,42.44548171748004,6.565235546517703,1.3130471093035405,39.871909383245104,45.01905405171498,4.15675903960049,0.855887281095019,0.1711774562190038,3.8212512254112427,4.4922668537897374,30.7635023275457,4.264160146193129,0.8528320292386258,29.091951550237994,32.43505310485341,33.204816149000614,4.698875050118434,0.9397750100236868,31.362857129354186,35.04677516864704,30.134356473863768,4.919672894150466,0.9839345788300932,28.205844699356785,32.06286824837075,2.6656989860841604,0.40128824550494957,0.08025764910098991,2.5083939938462203,2.8230039783221006,22.00162386964951,3.139020346442688,0.6278040692885376,20.771127893843975,23.232119845455045,0.4558928640673394,0.04941267327359808,0.009882534654719615,0.43652309614408896,0.4752626319905899,"{""Independent_ET_Physics"": 1, ""Native_ET_Physics"": 18, ""Native_RF_Physics"": 3, ""RegressorChain_ET_Physics"": 3}","{""0.0"": 3, ""0.25"": 8, ""0.5"": 5, ""0.75"": 7, ""1.0"": 2}"
6,25,0.8431064174573106,0.05027923016885397,0.010055846033770794,0.8233969592311199,0.8628158756835014,0.8468173208360169,0.05217672784887225,0.01043534556977445,0.826364043519259,0.8672705981527749,0.7033656331022686,0.08697985426893079,0.017395970853786157,0.6692695302288477,0.7374617359756895,0.7977631237985321,0.048462720797494654,0.00969254415949893,0.7787657372459141,0.81676051035115,46.31821783985852,7.0831482789542335,1.4166296557908467,43.54162371450846,49.09481196520858,39.39065768240085,6.589850280658613,1.3179700561317227,36.807436372382675,41.973878992419024,3.8722355491039946,0.8623238683336476,0.17246477366672952,3.5342045927172046,4.210266505490784,29.86037035712112,4.462685983131877,0.8925371966263753,28.110997451733425,31.609743262508815,33.499216980235595,5.171175051937073,1.0342350103874147,31.47211635987626,35.52631760059493,28.270018974879164,4.818335385822512,0.9636670771645024,26.38123150363674,30.158806446121588,2.503332395782511,0.4107577603981581,0.08215155207963162,2.342315353706433,2.664349437858589,21.424189450299092,3.253379769715465,0.650675953943093,20.14886458057063,22.699514320027554,0.43477389606737693,0.05294261940884058,0.010588523881768116,0.41402038925911144,0.4555274028756424,"{""Independent_ET_Physics"": 3, ""Native_ET_Physics"": 18, ""Native_RF_Physics"": 2, ""RegressorChain_ET_Physics"": 2}","{""0.0"": 11, ""0.25"": 11, ""0.5"": 1, ""0.75"": 1, ""1.0"": 1}"
7,25,0.8409942060088477,0.04967729488127771,0.009935458976255541,0.8215207064153868,0.8604677056023086,0.847842956089979,0.053349110718830924,0.010669822143766185,0.8269301046881973,0.8687558074917606,0.700608491335762,0.09987099275800344,0.019974198551600687,0.6614590621746246,0.7397579204968994,0.7964818844781962,0.050985462647333314,0.010197092529466663,0.7764955831204415,0.8164681858359509,46.69344219363498,7.062396767723628,1.4124793535447258,43.92498266068732,49.46190172658264,39.25540283883948,6.506419652760481,1.3012839305520962,36.70488633495737,41.80591934272159,3.8922103333364886,0.9690828210329867,0.19381656420659735,3.512329867491558,4.272090799181419,29.947018455270317,4.47943304078264,0.895886608156528,28.19108070328352,31.702956207257113,34.103083413042576,5.668135805965667,1.1336271611931334,31.881174177104036,36.324992648981116,28.33456326016507,5.023490594687737,1.0046981189375475,26.365354947047475,30.303771573282663,2.4916078738505205,0.46371266970658503,0.09274253394131701,2.309832507325539,2.673383240375502,21.643084849019388,3.506133825827896,0.7012267651655792,20.268680389294854,23.017489308743922,0.4356405300152857,0.05344710355548201,0.010689420711096402,0.4146892654215367,0.45659179460903465,"{""Independent_ET_Physics"": 1, ""Native_ET_Physics"": 17, ""Native_RF_Physics"": 7}","{""0.0"": 7, ""0.25"": 13, ""0.5"": 2, ""0.75"": 2, ""1.0"": 1}"
8,25,0.8452042115524017,0.054417572705012726,0.010883514541002545,0.8238725230520367,0.8665359000527666,0.8516980616608726,0.05582295777150585,0.01116459155430117,0.8298154622144422,0.8735806611073029,0.7150744535230157,0.09409123038082834,0.018818246076165668,0.678190691213731,0.7519582158323004,0.8039922422454299,0.048422472812190996,0.009684494562438199,0.785010632903051,0.8229738515878088,45.94836993780548,7.362403674291408,1.4724807348582816,43.06230769748325,48.83443217812771,38.58622019056641,6.196467141249227,1.2392934282498453,36.157205071196714,41.0152353099361,3.794705680195885,0.9307801452446328,0.18615602904892656,3.429839863259989,4.159571497131781,29.44309860285593,4.307135204333939,0.8614270408667878,27.754701602757027,31.131495602954832,33.06427949475504,5.6150435119210815,1.1230087023842164,30.863182438081978,35.265376551428105,27.401349809795725,4.882038989267433,0.9764077978534866,25.48759052600289,29.31510909358856,2.4512133052851635,0.41228454386972596,0.0824569087739452,2.289597764088231,2.612828846482096,20.972280869945312,3.3971434628421275,0.6794286925684255,19.640600632511198,22.303961107379425,0.4274488085698789,0.05247020478259361,0.010494040956518721,0.4068804882951022,0.44801712884465555,"{""Independent_ET_Physics"": 3, ""Native_ET_Physics"": 17, ""Native_RF_Physics"": 5}","{""0.0"": 10, ""0.25"": 10, ""0.5"": 2, ""0.75"": 1, ""1.0"": 2}"
9,25,0.846269610500237,0.04297799376764122,0.008595598753528244,0.8294222369433216,0.8631169840571523,0.8583458073415347,0.042367442854750435,0.008473488570950087,0.8417377697424725,0.8749538449405968,0.7140685692742941,0.09788250801725963,0.019576501603451927,0.6756986261315283,0.7524385124170598,0.8062279957053551,0.04555514616907245,0.00911102923381449,0.7883703784070787,0.8240856130036315,46.001060471776256,5.912666674885646,1.1825333349771292,43.68329513522108,48.31882580833143,37.995763514408374,5.496356687201033,1.0992713374402068,35.84119169302557,40.150335335791176,3.785887028135922,0.8959925222381747,0.17919850444763494,3.4346579594185576,4.137116096853286,29.260903671440182,3.6773429802397537,0.7354685960479508,27.8193852231862,30.702422119694166,32.830908600485685,4.909852734736811,0.9819705469473622,30.906246328468857,34.75557087250252,27.1481375119664,4.466752099986352,0.8933504199972704,25.39717068877175,28.89910433516105,2.409579415981946,0.4168650716573271,0.08337301433146542,2.246168307892274,2.5729905240716184,20.79620850947801,3.0660192530341024,0.6132038506068205,19.594328962288643,21.998088056667378,0.42551505522799843,0.04851172593650437,0.009702345187300874,0.40649845866088874,0.4445316517951081,"{""Independent_ET_Physics"": 5, ""Native_ET_Physics"": 16, ""Native_RF_Physics"": 3, ""RegressorChain_ET_Physics"": 1}","{""0.0"": 7, ""0.25"": 12, ""0.5"": 4, ""0.75"": 2}"
10,25,0.8441178250557476,0.04885163328815109,0.009770326657630219,0.8249679848067923,0.8632676653047029,0.856180125880099,0.051185085494104256,0.010237017098820852,0.8361155723664101,0.8762446793937878,0.7144920663445431,0.09205291705830307,0.018410583411660613,0.6784073228576883,0.7505768098313979,0.8049300057601299,0.04860661706617911,0.009721323413235821,0.7858762118701876,0.8239837996500721,46.2052226677902,6.841999413324218,1.3683998826648436,43.52315889776711,48.887286437813295,38.08344573126546,5.634010144058246,1.1268020288116491,35.87491375479463,40.291977707736294,3.8004222280341486,0.9313098659867918,0.18626197319735835,3.4353487605673263,4.1654956955009705,29.36303020902994,4.024090782361869,0.8048181564723738,27.785586622344088,30.940473795715793,32.71324889109887,5.463131560644291,1.0926263121288582,30.57170131932631,34.854796462871434,27.035494027161075,4.514980190732124,0.9029960381464248,25.265621792394082,28.805366261928068,2.4157582495348318,0.4557305424692975,0.0911461084938595,2.237111876886867,2.5944046221827963,20.721500389264925,3.2722825706821705,0.6544565141364341,19.438765621557515,22.004235156972335,0.4267398733281664,0.05323372623213156,0.010646745246426313,0.4058722526451708,0.44760749401116195,"{""Independent_ET_Physics"": 7, ""Native_ET_Physics"": 14, ""Native_RF_Physics"": 4}","{""0.0"": 3, ""0.25"": 14, ""0.5"": 4, ""0.75"": 3, ""1.0"": 1}"
11,25,0.8447726333345235,0.04739475906927213,0.009478951813854426,0.8261938877793688,0.8633513788896782,0.8560026619108981,0.04459027229810658,0.008918054459621317,0.8385232751700403,0.8734820486517559,0.7044793654522956,0.09404314244289168,0.018808628488578335,0.6676144536146821,0.7413442772899091,0.8017515535659058,0.044617109905356486,0.008923421981071298,0.784261646483006,0.8192414606488055,46.155716737079075,6.960724813207574,1.3921449626415148,43.427112610301705,48.884320863856445,38.2842019533969,5.664199578396828,1.1328399156793656,36.063835718665345,40.50456818812846,3.8604341532064566,0.9189508306934713,0.18379016613869426,3.500205427574616,4.220662878838297,29.433450947894144,4.093169253506061,0.8186338507012122,27.828928600519767,31.03797329526852,32.69108001918765,5.00647479017499,1.0012949580349981,30.728541901439055,34.653618136936245,27.277212786220325,4.544583084226268,0.9089166168452536,25.49573621720363,29.05868935523702,2.4318496282759043,0.4110067866917734,0.08220135733835468,2.270734967892729,2.5929642886590796,20.800047477894626,3.090649287723567,0.6181298575447134,19.58851295710699,22.011581998682264,0.4299587792291862,0.04805047090035228,0.009610094180070455,0.4111229946362481,0.4487945638221243,"{""Independent_ET_Physics"": 4, ""Native_ET_Physics"": 15, ""Native_RF_Physics"": 3, ""RegressorChain_ET_Physics"": 3}","{""0.0"": 4, ""0.25"": 11, ""0.5"": 5, ""0.75"": 3, ""1.0"": 2}"
12,25,0.8453541437207113,0.0461090302532178,0.009221806050643561,0.8272794038614499,0.8634288835799726,0.8623318204982036,0.04018424327488462,0.008036848654976924,0.8465795971344487,0.8780840438619584,0.7133800074960632,0.0945062355151688,0.01890124710303376,0.6763335631741171,0.7504264518180094,0.8070219905716595,0.04282675960149479,0.008565351920298957,0.7902339008078735,0.8238100803354454,46.08754982629996,6.715421159274163,1.3430842318548326,43.45510473186449,48.71999492073544,37.4730506252875,5.3183051925950435,1.0636610385190086,35.38827498979024,39.55782626078476,3.8023587213180354,0.9348079126834953,0.18696158253669906,3.435914019546105,4.168803423089965,29.1209863909685,3.8667142432659376,0.7733428486531875,27.605234407608254,30.636738374328747,33.14207738475379,5.164334173757149,1.0328668347514298,31.117658388640987,35.16649638086659,27.070789922641602,4.16970455273791,0.833940910547582,25.43626573796834,28.705314107314862,2.4419821794836247,0.4611419496642673,0.09222838993285346,2.261214535215232,2.6227498237520175,20.88494982895967,3.0377798180458573,0.6075559636091714,19.694140140285693,22.075759517633646,0.4243132174253434,0.0472225974862497,0.00944451949724994,0.40580195921073353,0.44282447563995325,"{""Independent_ET_Physics"": 2, ""Native_ET_Physics"": 16, ""Native_RF_Physics"": 5, ""RegressorChain_ET_Physics"": 2}","{""0.0"": 3, ""0.25"": 6, ""0.5"": 6, ""0.75"": 7, ""1.0"": 3}"
