Run_ID,Repeat,Outer_Fold,Outer_ID,Feature_Count,Model_Family,Description,Candidate_Number,Alpha,Params,Derived_Seed,Outer_Training_Index_Hash,Mean_Inner_Primary_Score,Std_Inner_Primary_Score,Mean_Inner_NRMSE,Rank_Within_Family,Selection_Status,Search_Independent_Fixed_k,Complexity_Score,Selected_Alpha,Selected_Feature_Count,Selected_Features,Selected_Feature_Rank,Outer_Validation_Index_Hash,Calibration_Accessed,Final_Test_Accessed,Selected_Configuration_Status,Outer_R2_YS,Outer_RMSE_YS,Outer_MAE_YS,Outer_NRMSE_YS,Outer_R2_UTS,Outer_RMSE_UTS,Outer_MAE_UTS,Outer_NRMSE_UTS,Outer_R2_El,Outer_RMSE_El,Outer_MAE_El,Outer_NRMSE_El,Outer_R2_Macro,Outer_RMSE_Macro,Outer_MAE_Macro,Outer_NRMSE_Macro
R01_F01_k03_Independent_ET_Physics,1,1,R01_F01,3,Independent_ET_Physics,reduced physics-retained independent ET,12,0.0,"{""model__estimator__max_depth"": 14, ""model__estimator__max_features"": 1.0, ""model__estimator__min_samples_leaf"": 2, ""model__estimator__n_estimators"": 800, ""selector__alpha"": 0.0, ""selector__n_features"": 3}",1046,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.5734708189692715,0.02890696605438302,0.5734708189692715,1,Selected_for_fixed_k,True,1240,0.0,3,Tsol;Tage;tage,Zn;Tsol;Tage;Mg;Cu;tage;Fe;Ti;Zr;Si;Mn;Li;Sc;Cr;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.7869043505988906,55.67187289247535,41.916912239015616,0.4573285839212975,0.7015620274675938,56.86998203501766,43.836565431354344,0.5412128448322673,0.579423297799561,4.676555764878445,3.8364730014156097,0.6424859879812811,0.6892965586220151,39.07280356412382,29.86331689059519,0.5470091389116153
R01_F01_k04_Native_ET_Physics,1,1,R01_F01,4,Native_ET_Physics,reduced physics-retained ExtraTrees,5,0.0,"{""model__max_depth"": 14, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__alpha"": 0.0, ""selector__n_features"": 4}",1047,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.5045434107322342,0.047843923539585914,0.5045434107322342,1,Selected_for_fixed_k,True,790,0.0,4,Tsol;Tage;tage;Zn,Zn;Tsol;Tage;Mg;Cu;tage;Fe;Ti;Zr;Si;Mn;Li;Sc;Cr;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8321359583362367,49.4114249032201,37.18277201660216,0.405900786276178,0.7991281880710777,46.656864475032286,33.38850671898047,0.444017976617916,0.5151239980206609,5.021331072636162,3.547484653654865,0.6898527500543139,0.7154627148093251,33.69654015029618,24.706254463079166,0.5132571709828025
R01_F01_k05_Native_ET_Physics,1,1,R01_F01,5,Native_ET_Physics,reduced physics-retained ExtraTrees,17,0.5,"{""model__max_depth"": 14, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300, ""selector__alpha"": 0.5, ""selector__n_features"": 5}",1048,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.48577755824309604,0.047016663274667816,0.48577755824309604,1,Selected_for_fixed_k,True,610,0.5,5,Tsol;Tage;tage;Zn;Mg,Zn;Mg;Tsol;Tage;Ti;Cu;Fe;Si;Sc;Zr;Li;Cr;tage;Be;Mn;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8454505364763214,47.41134668060981,35.01873112475726,0.38947071317544313,0.820292614823215,44.13051677536868,31.828734636114763,0.4199755595704043,0.673673103441221,4.1193618925570235,2.9651525804209524,0.5659362206837133,0.7798054182469191,31.887075116178508,23.27087278043099,0.45846083114318686
R01_F01_k06_Native_ET_Physics,1,1,R01_F01,6,Native_ET_Physics,reduced physics-retained ExtraTrees,4,0.25,"{""model__max_depth"": 10, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300, ""selector__alpha"": 0.25, ""selector__n_features"": 6}",1049,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.4583509369706905,0.050037919099616135,0.4583509369706905,1,Selected_for_fixed_k,True,600,0.25,6,Tsol;Tage;tage;Zn;Mg;Cu,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;Si;tage;Zr;Sc;Li;Cr;Mn;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8446675647433648,47.53129160312033,37.45153219901108,0.39045602656100553,0.830792175315126,42.82193340475525,30.19530496843441,0.4075222036281814,0.7041067551975289,3.922573020524598,2.995104966502119,0.5389004919918816,0.7931888317520066,31.425266009466725,23.54731404464921,0.44562624072702284
R01_F01_k07_Native_RF_Physics,1,1,R01_F01,7,Native_RF_Physics,reduced physics-retained RandomForest,12,0.25,"{""model__max_depth"": 10, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 800, ""selector__alpha"": 0.25, ""selector__n_features"": 7}",1050,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.45911645856538846,0.04445817339410791,0.45911645856538846,1,Selected_for_fixed_k,True,1070,0.25,7,Tsol;Tage;tage;Zn;Mg;Cu;Ti,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;Si;tage;Zr;Sc;Li;Cr;Mn;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8148836408695088,51.88847898421784,41.427217136062026,0.4262490802404768,0.8224367877019167,43.86645583327552,32.50533223881745,0.41746257875758586,0.6625056458199585,4.189254721138151,3.1402158575335393,0.575538407695145,0.7666086914637947,33.314729846210504,25.69092174413767,0.47308335556440256
R01_F01_k08_Native_ET_Physics,1,1,R01_F01,8,Native_ET_Physics,reduced physics-retained ExtraTrees,7,0.0,"{""model__max_depth"": null, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__alpha"": 0.0, ""selector__n_features"": 8}",1051,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.4412279528001893,0.04334899704933327,0.4412279528001893,1,Selected_for_fixed_k,True,700,0.0,8,Tsol;Tage;tage;Zn;Mg;Cu;Fe;Ti,Zn;Tsol;Tage;Mg;Cu;tage;Fe;Ti;Zr;Si;Mn;Li;Sc;Cr;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8672851812348136,43.93475910572784,34.06170981481483,0.36091153616392124,0.8556637311287103,39.54975412074902,28.110997962962717,0.37638195361003013,0.7339984280040095,3.7191664314780035,2.6559919135802414,0.5109555919637515,0.8189824467891779,29.06789321931829,21.60956656378593,0.4160830272459009
R01_F01_k09_Native_ET_Physics,1,1,R01_F01,9,Native_ET_Physics,reduced physics-retained ExtraTrees,1,0.0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__alpha"": 0.0, ""selector__n_features"": 9}",1052,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.447103580496396,0.059000809888780606,0.447103580496396,1,Selected_for_fixed_k,True,650,0.0,9,Tsol;Tage;tage;Zn;Mg;Cu;Fe;Ti;Zr,Zn;Tsol;Tage;Mg;Cu;tage;Fe;Ti;Zr;Si;Mn;Li;Sc;Cr;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8518930772910173,46.412634371297756,35.65702675925936,0.38126657592565816,0.8622159739982894,38.641634281985155,28.248681944444424,0.3677396768974513,0.7360133038791715,3.7050539148253843,2.6544549691357986,0.509016751787279,0.816707451722826,29.586440856036102,22.18672122427986,0.41934100153679615
R01_F01_k10_Native_ET_Physics,1,1,R01_F01,10,Native_ET_Physics,reduced physics-retained ExtraTrees,6,0.5,"{""model__max_depth"": 14, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__alpha"": 0.5, ""selector__n_features"": 10}",1053,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.43666283468695566,0.0751266900046776,0.43666283468695566,1,Selected_for_fixed_k,True,810,0.5,10,Tsol;Tage;tage;Zn;Mg;Ti;Cu;Fe;Si;Sc,Zn;Mg;Tsol;Tage;Ti;Cu;Fe;Si;Sc;Zr;Li;Cr;tage;Be;Mn;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8643138586597131,44.42385944718401,33.90922588070679,0.36492935620359523,0.860199949431621,38.92330549338517,28.043163767565257,0.37042024882967534,0.7291072165016312,3.7532045105804888,2.674287509666254,0.5156318943496622,0.8178736748643218,29.033456483716552,21.542225719312768,0.4169938331276442
R01_F01_k11_Native_ET_Physics,1,1,R01_F01,11,Native_ET_Physics,reduced physics-retained ExtraTrees,23,0.25,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300, ""selector__alpha"": 0.25, ""selector__n_features"": 11}",1054,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.43250230923773286,0.05807411979848756,0.43250230923773286,1,Selected_for_fixed_k,True,470,0.25,11,Tsol;Tage;tage;Zn;Mg;Cu;Ti;Fe;Si;Zr;Sc,Zn;Tsol;Mg;Tage;Cu;Ti;Fe;Si;tage;Zr;Sc;Li;Cr;Mn;Be;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8620860319137933,44.787071642504806,34.791585648148136,0.3679130409678895,0.8636247439229288,38.44358143917496,27.7261973765432,0.36585487337459416,0.7389198678065491,3.6846006441535613,2.6148837962962945,0.5062067906800631,0.8215435478810904,28.971751241944446,21.710888940329212,0.41332490167418223
R01_F01_k12_Native_ET_Physics,1,1,R01_F01,12,Native_ET_Physics,reduced physics-retained ExtraTrees,4,0.5,"{""model__max_depth"": 14, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""selector__alpha"": 0.5, ""selector__n_features"": 12}",1055,669f36818ef67c35fdcfbc6dc7e485c780b3f5e8797b66a9dd8d851106732926,-0.42764965186086845,0.0586737222921728,0.42764965186086845,1,Selected_for_fixed_k,True,840,0.5,12,Tsol;Tage;tage;Zn;Mg;Ti;Cu;Fe;Si;Sc;Zr;Li,Zn;Mg;Tsol;Tage;Ti;Cu;Fe;Si;Sc;Zr;Li;Cr;tage;Be;Mn;Ni;V,38b5261cdefd68d022d7998fd1a11d9d8812846f1d945958250ca3b588008437,False,False,Selected,0.8589929707405031,45.28651716420388,35.13594779924132,0.37201584371759444,0.8547887657897975,39.66944814964111,28.10021859613434,0.3775210421690214,0.7478370036899509,3.6211306123969176,2.5823010889588964,0.4974869960041131,0.8205395800734171,29.52569864208063,21.939489161444854,0.4156746272969096
